LOCID,ECOORD,NCOORD,ELEV
B04547,390026.737222222,1429896.43833333,1104.54
B04548,390158.387222222,1429896.72833333,1108.31
B04549,390259.037222222,1430081.00833333,1096.75
B04550,390541.627222222,1430266.58833333,1072.34
B04551,390509.387222222,1430635.12833333,1075.83
B04552,390782.057222222,1431030.97833333,1056.57
B04553,390873.717222222,1430551.30833333,1042.37
B04557,390809.547222222,1431152.79833333,1055.78
B04558,390928.207222222,1430649.55833333,1040.46
B04559,390878.247222222,1430567.96833333,1041.76
B04560,390890.137222222,1430458.79833333,1047.04
B04561,390890.837222222,1430462.84833333,1046.82
B04562,389932.277222222,1429709.42833333,1107.82
B04563,389909.197222222,1429713.83833333,1107.39
B04564,389891.217222222,1429684.41833333,1107.23
B04565,390006.277222222,1429691.77833333,1108.82
B04570,390053.827222222,1429675.84833333,1108.95
B04571,389944.897222222,1429645.77833333,1107.73
B04572,389945.187222222,1429655.65833333,1107.73
B04573,389944.927222222,1429665.42833333,1107.73
B04574,389945.287222222,1429645.25833333,1107.73
B04575,389976.617222222,1429631.73833333,1109.24
B04576,389971.567222222,1429631.43833333,1109.24
B04577,389976.697222222,1429631.37833333,1109.24
B04578,389966.777222222,1429631.65833333,1109.24
B04579,390009.027222222,1429629.70833333,1109.24
B04580,389936.047222222,1429641.58833333,1107.41
B04581,389935.807222222,1429641.22833333,1107.41
B04582,389935.717222222,1429641.44833333,1107.41
B04583,389935.837222222,1429641.79833333,1107.41
B04584,389941.287222222,1429641.78833333,1107.49
B04585,389937.687222222,1429624.65833333,1107.61
B04586,390000.967222222,1429643.99833333,1109.03
B04589,390037.777222222,1429687.58833333,1108.84
B04590,389930.787222222,1429625.62833333,1107.55
B04591,389930.667222222,1429626.09833333,1107.55
B04592,389930.377222222,1429625.70833333,1107.55
B04600,390150.917222222,1430328.96833333,1096.56
B04600A,390150.927222222,1430328.96833333,1096.56
B04600B,390150.937222222,1430328.96833333,1096.56
B04600C,390150.947222222,1430328.96833333,1096.56
B04600D,390150.957222222,1430328.96833333,1096.56
B04600E,390150.967222222,1430328.96833333,1096.56
B04600F,390150.977222222,1430328.96833333,1096.56
B04601,390331.237222222,1430299.21833333,1093.08
B04601A,390331.247222222,1430299.21833333,1093.08
B04601B,390331.257222222,1430299.21833333,1093.08
B04601C,390331.267222222,1430299.21833333,1093.08
B04601D,390331.277222222,1430299.21833333,1093.08
