LOCID,ECOORD,NCOORD,ELEV
B4PIIHP027,389155.947222222,1430525.22833333,1100.18
B4PIIHP028,389118.827222222,1430604.25833333,1099.88
B4PIIHP032,389098.017222222,1430544.55833333,1100.54
B4PIIHP033,391246.997222222,1430772.36833333,1030
B4PIIHP034,391146.387222222,1430907.90833333,1030
B4PIIHP035,390253.487222222,1431040.64833333,1030
B4PIIHP036,390179.427222222,1431053.22833333,1030
B4SO001,390279.097222222,1430546.45833333,1050
B4SO002,390299.097222222,1430556.45833333,1050
B4SPILL,390309.097222222,1430566.45833333,1050
B4WS001,390527.577222222,1431312.36833333,1028.48
B4WS002,391119.277222222,1430942.74833333,1023.51
B4WS003,391860.097222222,1430017.30833333,1088.79
B4WS004,389929.787222222,1429950.51833333,1101.9
B4WS005,389652.557222222,1429732.63833333,1105.47
B4WS006,389709.217222222,1429678.64833333,1105.88
B4WS007,389922.987222222,1429836.66833333,1103.66
B4WS008,389808.507222222,1429727.80833333,1105.11
B4WS009,390269.097222222,1430536.45833333,1090
B4WS010,391596.167222222,1429991.80833333,1100
B4WS011,391543.057222222,1430090.51833333,1099.01
B4WS012,391452.127222222,1430289.06833333,1080.27
B58HP001,391745.657222222,1430163.49833333,1099.38
B58HP002,391731.497222222,1430156.22833333,1099.94
B58HP003,391716.617222222,1430148.65833333,1100.44
B58HP004,391693.057222222,1430168.79833333,1100.38
B58HP005,391675.057222222,1430178.12833333,1100.35
B58HP006,391646.257222222,1430185.29833333,1100.05
B58HP007,391654.387222222,1430167.14833333,1100.57
B58HP008,391623.767222222,1430174.71833333,1100.11
B58HP012,391570.567222222,1430148.35833333,1100.07
B58HP013,391579.437222222,1430133.92833333,1100.43
B58HP014,391549.587222222,1430126.98833333,1099.88
B58HP015,391563.037222222,1430105.61833333,1100.22
B58HP016,391573.307222222,1430093.13833333,1100.61
B58HP017,391524.887222222,1430067.23833333,1099.43
B58HP018,391644.067222222,1429895.68833333,1100.53
B58HP019,391659.267222222,1429866.74833333,1100.32
B58HP020,391708.817222222,1429770.90833333,1099.53
B58HP021,391746.747222222,1429734.24833333,1099.14
B58HP022,391777.397222222,1429804.33833333,1099.52
B58HP023,391662.237222222,1429751.08833333,1099.4
B58HP024,391692.567222222,1429810.90833333,1099.89
B58HP025,391723.167222222,1429898.05833333,1100.37
B58HP026,391618.917222222,1429845.02833333,1100.53
B58HP027,391557.147222222,1430058.16833333,1099.31
B58HP028,391475.407222222,1430119.71833333,1099.63
B58HP029,391476.157222222,1430168.74833333,1090.45
B58HP030,391531.357222222,1430175.17833333,1091.31
B58HP031,391599.757222222,1430211.86833333,1092.62
B58HP032,391647.107222222,1430229.48833333,1094.5
B58HP033,391701.087222222,1430207.81833333,1097.61
B58HP034,391759.577222222,1430123.14833333,1099.45
B58HP035,391718.327222222,1430236.30833333,1097.01
B58HP036,391586.657222222,1430243.04833333,1091.03
B58HP037,391516.977222222,1430210.93833333,1089.39
B58HP038,391419.137222222,1430132.39833333,1092.5
B58HP039,391427.727222222,1430079.96833333,1100.58
B58HP041,391538.727222222,1430305.00833333,1081.3
B58HP042,391650.597222222,1430336.04833333,1083.4
B58SLHP001,391283.337222222,1430568.46833333,1060.91
B58SLHP002,391269.507222222,1430598.57833333,1054.82
B58SLHP003,391310.847222222,1430578.72833333,1058.42
B58SLHP004,391296.147222222,1430599.67833333,1053.76
B58SLHP005,391275.157222222,1430558.02833333,1062.37
B58SLHP006,391266.107222222,1430579.27833333,1059.23
B6,390656.057222222,1427062.07833333,1064.63
B7699HP001,390210.537222222,1429882.62833333,1108.22
B7699HP002,390225.827222222,1430029.37833333,1097.58
B7699HP005,390281.227222222,1430069.64833333,1095.86
B7699HP006,390281.757222222,1430027.82833333,1096.18
B7699HP009,390351.767222222,1430078.04833333,1088.92
B7699HP010,390355.327222222,1430021.53833333,1094.56
B7699HP011,390168.507222222,1429979.85833333,1105.55
B7699HP012,390211.847222222,1429933.07833333,1106.5
B7699HP015,390261.367222222,1429969.30833333,1105.36
B7699HP019,390370.187222222,1429932.46833333,1105.94
B7699HP020,390395.317222222,1429866.20833333,1106.85
B7699HP021,390412.237222222,1429907.39833333,1105.6
B7699HP022,390431.117222222,1429854.60833333,1106.76
B7699HP023,390444.927222222,1429908.43833333,1105.43
B7699HP024,390231.957222222,1429869.23833333,1108.21
B7699HP025,390284.387222222,1429844.62833333,1107.43
B7699HP027,390375.067222222,1429819.67833333,1106.99
B7699HP028,390218.547222222,1429812.68833333,1108.35
B7699HP030,390306.737222222,1429784.59833333,1106.33
B7699HP031,390311.507222222,1429755.28833333,1106.95
B7699HP032,390449.317222222,1429784.12833333,1106.8
B7699HP033,390482.047222222,1429895.69833333,1105.39
B7699HP034,390494.977222222,1429997.67833333,1090.79
B7699HP035,390450.847222222,1430079.44833333,1079.57
B7699HP036,390237.947222222,1430116.76833333,1097.64
B7699HP037,390315.477222222,1430145.49833333,1093.68
B7699HP038,390388.187222222,1430193.74833333,1079.68
B7699HP039,390518.237222222,1429874.74833333,1105.41
B7699HP040,390543.417222222,1430266.80833333,1072.74
B76DWHP007,389959.647222222,1429828.18833333,1103.71
B76DWHP010,390069.257222222,1429940.85833333,1105.9
B76HP004,390064.377222222,1429654.57833333,1109.04
B76HP012,390049.337222222,1429606.80833333,1109.42
B76HP024,390027.277222222,1429535.12833333,1109.64
B76HP031,389752.387222222,1429514.76833333,1107.48
B76HP032,389774.897222222,1429673.17833333,1105.9
B76HP034,389763.177222222,1429759.71833333,1105.16
B76HP035,389874.027222222,1429793.60833333,1104.21
B76HP036,389903.727222222,1429919.31833333,1103.94
B76HP037,389956.107222222,1429956.22833333,1103.29
B76HP038,390106.647222222,1429471.54833333,1109.39
B76HP039,390136.497222222,1429589.29833333,1109.15
B76HP040,390152.687222222,1429641.19833333,1108.41
B76HP041,390259.807222222,1429572.11833333,1107.88
B76HP042,390163.687222222,1429685.08833333,1107.87
B76HP043,390195.307222222,1429714.41833333,1108.13
B76HP044,390088.807222222,1429352.60833333,1109.58
B76HP045,390230.687222222,1429400.72833333,1108.26
B76HP046,389598.577222222,1429707.29833333,1107.79
B76HP047,389697.507222222,1428983.16833333,1110.08
B76HP048,389985.967222222,1429019.34833333,1109.35
B76HP049,389668.087222222,1430782.56833333,1095.99
B76HP050,389360.787222222,1429802.65833333,1106.84
B76HP051,390222.947222222,1429268.59833333,1108.5
B76HP052,389570.987222222,1430113.24833333,1102.1
B76HP053,389774.887222222,1430291.28833333,1101.4
B76SLHP001,390158.497222222,1430155.48833333,1097.88
B76SLHP002,390146.287222222,1430124.28833333,1098.44
B76SLHP003,390137.027222222,1430102.15833333,1098.88
B76SLHP004,390126.897222222,1430075.52833333,1099.37
B76SO01,389879.097222222,1429436.45833333,1107
B76SO02,389899.097222222,1429456.45833333,1107
B76SVE-EFF,389941.227222222,1429570.21833333,1108.5
B76SVE-INF,389937.807222222,1429292.26833333,1109.85
B76SVE-MID,389934.337222222,1429572.25833333,1108.2
B76SVE02,389819.097222222,1429536.45833333,1107
B76SVE03,389829.097222222,1429536.45833333,1107
B76SVE04,389839.097222222,1429536.45833333,1107
B80HP001,392034.127222222,1429439.33833333,1092.46
B80HP002,392043.647222222,1429408.59833333,1090.77
B80HP003,391985.547222222,1429393.29833333,1095.32
B80HP004,391999.317222222,1429404.75833333,1094.37
B80HP005,392001.637222222,1429432.98833333,1093.27
B80HP006,391912.067222222,1429307.37833333,1093.54
B80HP007,392005.217222222,1429353.79833333,1091.61
B80HP008,391819.167222222,1429319.97833333,1097.05
B80HP009,391905.287222222,1429448.16833333,1097.2
B80HP010,391900.777222222,1429533.75833333,1097.54
B80HP011,391738.727222222,1429397.03833333,1097.82
B80HP012,391987.807222222,1429499.53833333,1093.06
B80HP013,391953.367222222,1429570.72833333,1093.79
B80HP014,391856.997222222,1429273.40833333,1092.55
B90529,392334.097222222,1426637.28833333,1049.23
B90554,392144.047222222,1428766.66833333,1064.52
B90A,392456.127222222,1428536.86833333,1069.2
B90B,392533.857222222,1428465.29833333,1068.03
B90B08,392575.877222222,1427464.75833333,NA
B90B1,392593.577222222,1428317.15833333,1065.04
B90B10,392493.907222222,1427349.22833333,1027
B90B2,392258.277222222,1428013.10833333,1052.53
B90B3,392414.587222222,1427965.05833333,1051.15
B90B4,392582.107222222,1427966.70833333,1050.38
B90B5,392527.817222222,1428569.80833333,1071.62
B90B6,392797.847222222,1428097.15833333,1055.62
B90B7,392372.227222222,1428606.33833333,1065.5
B90B8,392573.577222222,1427462.93833333,1020.4
B90B9,392799.137222222,1427664.08833333,1045.21
B90BR1,392370.347222222,1428427.63833333,1066.21
B90BR2,392365.067222222,1427802.70833333,1029.4
B90BR3,392388.067222222,1427800.19833333,1030.3
B90C,392554.487222222,1428450.59833333,1066.04
B90D,392562.947222222,1428422.13833333,1066.17
B90D1,392333.137222222,1427827.77833333,1029.48
B90D2,392685.487222222,1427913.68833333,1040.25
B90D3,392168.307222222,1427851.59833333,1035.63
B90D4,392553.147222222,1427728.66833333,1032.6
B90D5,392775.967222222,1427922.23833333,1052.58
B90D5R,392775.897222222,1427922.15833333,1044.6
B90D6,393011.127222222,1428077.01833333,1042.51
B90D7,392882.407222222,1427448.56833333,1035.7
B90E1,392847.987222222,1428512.60833333,1052.6
B90E2,393276.997222222,1428095.30833333,1031.7
B90E3,393711.847222222,1427430.25833333,997.6
B90E4,392193.017222222,1427587.80833333,1057.3
B90E5,391885.447222222,1427902.30833333,1074.5
B90E6,391910.067222222,1428283.58833333,1066.38
B90E7,392383.687222222,1427664.19833333,1020.5
B90E8,392249.107222222,1427846.16833333,1029.28
B90E9,392362.097222222,1427650.46833333,1021.7
B90E9A,392363.997222222,1427650.72833333,1023.7
B90FD,392534.097222222,1427419.45833333,1020
B90GAHP001,391987.327222222,1427928.37833333,1068.43
B90GAHP002,391954.377222222,1427945.59833333,1072.77
B90GAHP003,391929.407222222,1428023.35833333,1074.18
B90GAHP004,392115.367222222,1428213.39833333,1050.91
B90GAHP005,392084.597222222,1428287.23833333,1049.43
B90GAHP006,391939.487222222,1428190.79833333,1068.65
B90GAHP007,392857.277222222,1428274.71833333,1053.26
B90GAHP008,392774.597222222,1428200.60833333,1059.83
B90GAHP009,392727.207222222,1428276.92833333,1060.3
B90GAHP010,392700.967222222,1428330.20833333,1062.28
B90GAHP011,392685.597222222,1428377.09833333,1063.84
B90GAHP012,392607.577222222,1428530.10833333,1064.62
B90MWA,392101.977222222,1428023.01833333,1064.4
B90MWB,392553.057222222,1427734.26833333,1033.6
B90MWD,392748.977222222,1427397.94833333,1021
B90MWE,391965.917222222,1428618.23833333,1069.1
B90MWG,392785.417222222,1427381.33833333,1020.8
B90MWGA,392675.577222222,1427463.89833333,1021.7
B90MWH,392782.137222222,1427821.67833333,1048.1
B90MWI,392145.327222222,1428831.73833333,1066.47
B90MWJ,393116.737222222,1427799.12833333,1046.8
B90MWK,393006.837222222,1427048.80833333,1004.92
B90MWL,393006.047222222,1427057.45833333,1004.72
B90N2,392112.027222222,1428022.20833333,1064.19
B90PIIBH001,392448.767222222,1427294.22833333,1034.1
B90PIIBH002,392521.387222222,1427236.70833333,1028.91
B90PIIBH003,392678.327222222,1427177.89833333,1017.99
B90PIIBH004,392750.917222222,1427407.45833333,1021.36
B90PIIBH005,392848.877222222,1427702.18833333,1049.41
B90PIIBH006,392849.097222222,1427704.45833333,1060
B90PIIHP001,391893.367222222,1428480.40833333,1060.92
B90PIIHP002,391847.957222222,1428405.04833333,1061.37
B90PIIHP003,391819.977222222,1428190.71833333,1077.97
B90PIIHP004,391800.997222222,1428027.73833333,1075.2
B90PIIHP005,391938.997222222,1427868.79833333,1065.97
B90PIIHP006,392122.707222222,1427840.33833333,1040.05
B90PIIHP007,392211.747222222,1427826.61833333,1032
B90PIIHP008,392351.907222222,1427767.65833333,1026.34
B90PIIHP009,392291.697222222,1427836.93833333,1028.66
B90PIIHP010,392265.797222222,1428002.18833333,1051.64
B90PIIHP011,392208.997222222,1428266.96833333,1055.71
B90PIIHP012,391990.027222222,1428405.08833333,1054.22
B90PIIHP013,392216.247222222,1427848.46833333,1031.63
B90PIIHP014,392365.837222222,1427824.73833333,1029.18
B90PIIHP015,392355.757222222,1427720.20833333,1022.57
B90PIIHP016,392635.727222222,1428692.97833333,1074.17
B90PIIHP017,392711.557222222,1428680.29833333,1068.91
B90PIIHP018,392677.147222222,1428648.26833333,1068.8
B90PIIHP019,392614.637222222,1428779.58833333,1075.32
B90PIIHP020,392311.767222222,1427782.05833333,1060
B90PSHP001,392478.597222222,1428451.19833333,1068.66
B90PSHP002,392507.687222222,1428457.78833333,1067.5
B90PSHP003,392533.407222222,1428479.20833333,1068.76
B90PSHP004,392531.857222222,1428491.77833333,1069.35
B90PSHP005,392517.977222222,1428514.14833333,1069.53
B90PSHP006,392515.537222222,1428546.09833333,1069.03
B90PSHP007,392485.897222222,1428541.50833333,1068.89
B90PSHP008,392495.927222222,1428510.70833333,1069.5
B90PSHP009,392459.637222222,1428506.07833333,1069.62
B90PSHP010,392463.207222222,1428464.07833333,1069.31
B90PZ1,392686.277222222,1427802.85833333,1037.53
B90RW1,392593.857222222,1427809.92833333,1037.15
B90RW2,392688.827222222,1427875.09833333,1040.45
B90RW3A,392761.817222222,1427913.58833333,1043.73
B90SIHP001,392296.687222222,1428237.26833333,1059.25
B90SIHP004,392265.057222222,1428091.36833333,1055.87
B90SIHP006,392295.807222222,1427972.65833333,1052.18
B90SIHP007,392328.067222222,1427960.82833333,1052.46
B90SIHP008,392385.187222222,1427981.82833333,1052.07
B90SIHP009,392463.197222222,1427959.24833333,1050.93
B90SIHP011,392553.337222222,1427967.76833333,1050.21
B90SIHP013,392700.497222222,1427981.02833333,1044.14
B90SIHP015,392710.877222222,1428052.90833333,1051.65
B90SIHP017,392710.387222222,1428118.60833333,1057.75
B90SIHP019,392714.107222222,1428209.53833333,1060.72
B90SIHP021,392627.077222222,1428250.22833333,1061.55
B90SIHP022,392821.947222222,1428096.23833333,1054.02
B90SIHP023,392330.357222222,1427805.76833333,1028.5
B90SLHP003,391829.247222222,1428064.39833333,1075.23
B90SLHP004,391882.897222222,1428411.50833333,1059.96
B90SO001,392335.847222222,1427792.55833333,1027.6
B90SO002,392216.477222222,1427845.82833333,1032
B90SOHP001,392671.187222222,1428724.55833333,1072.21
B90SOHP002,393012.787222222,1428379.93833333,1043.33
B90SOHP003,392975.167222222,1427401.52833333,1028.91
B90SOHP004,392657.167222222,1427139.37833333,1019.21
B90SOHP005,392023.327222222,1427723.09833333,1063.92
B90SOHP006,391714.647222222,1427825.34833333,1061.09
B90SOHP007,391763.527222222,1428161.61833333,1080.06
B90SOHP008,392275.927222222,1428733.95833333,1062.98
B90SOHP009,391517.747222222,1427967.35833333,1053.91
B90SOHP012,391452.057222222,1427695.10833333,1061.62
B90SOHP013,391815.047222222,1427509.07833333,1047.26
B90SOHP014,392105.217222222,1427367.12833333,1049.38
B90STHP001,392674.397222222,1428718.92833333,1072.43
B90STHP002,392613.587222222,1428466.19833333,1065.6
B90STHP003,392560.657222222,1428357.73833333,1065.94
B90STHP004,392651.697222222,1428387.13833333,1064.45
B90STHP005,392661.957222222,1428469.69833333,1063.99
B90STHP006,392660.417222222,1428553.31833333,1060.84
B90STHP007,392615.347222222,1428570.70833333,1065.84
B90STHP008,392440.117222222,1428392.85833333,1066.54
B90WS001,392278.357222222,1427804.34833333,1022.15
B90WS002,392306.257222222,1427764.53833333,1019.77
B90WS003,393292.797222222,1427925.88833333,1017.6
B90WS004,393771.487222222,1427184.44833333,974.45
B96HWHP001,390388.617222222,1430616.00833333,1080.62
B96HWHP002,390408.907222222,1430603.45833333,1080.77
B96HWHP003,390403.477222222,1430647.04833333,1078.58
B96HWHP004,390448.917222222,1430623.10833333,1076.93
B96HWHP005,390495.757222222,1430602.14833333,1076.69
B96HWHP006,390463.867222222,1430640.35833333,1075.91
B96HWHP007,390442.257222222,1430665.38833333,1075.72
B96HWHP008,390456.907222222,1430685.73833333,1074.5
B96HWHP009,390517.137222222,1430690.42833333,1073.23
B96HWHP010,390553.717222222,1430693.71833333,1068.53
B96HWHP011,390578.407222222,1430692.38833333,1065.35
B96HWHP012,390470.757222222,1430663.39833333,1074.85
B96SRHP005,390633.397222222,1430978.48833333,1061.34
B96SRHP015,390602.297222222,1430894.08833333,1064.05
B96SRHP017,390493.397222222,1430885.24833333,1073.41
B96SRHP020,390587.647222222,1430854.10833333,1065.46
B96SRHP021,390644.757222222,1430870.76833333,1062.67
B96SRHP022,390641.247222222,1430842.09833333,1062.84
B96SRHP023,390607.777222222,1430825.53833333,1064.7
B96SRHP024,390641.837222222,1430797.96833333,1062.61
B96SRHP025,390655.367222222,1430823.17833333,1062.55
B96SRHP026,390673.977222222,1430844.50833333,1062.37
B96SRHP027,390499.667222222,1430818.85833333,1073.71
B96SRHP028,390441.927222222,1430760.44833333,1076.12
B96SRHP029,390374.377222222,1430664.36833333,1079.08
B96SRHP030,390324.077222222,1430740.77833333,1080.88
B96SRHP031,390371.247222222,1430555.52833333,1082.69
B96SRHP034,389954.747222222,1430410.75833333,1093.72
B96SRHP035,390693.577222222,1430810.73833333,1056.89
B96SRHP038,390715.397222222,1430852.99833333,1059.63
B96SRHP039,390693.387222222,1430878.03833333,1062.65
B96SRHP040,390725.377222222,1430917.60833333,1059.35
B96SRHP042,390783.197222222,1430868.55833333,1051.83
B96SRHP043,390747.097222222,1430836.45833333,1050
B96SRHP045,390425.307222222,1430352.54833333,1076.12
B96SRHP048,390225.857222222,1430367.51833333,1093.57
B96SRHP049,390301.957222222,1430585.15833333,1089.31
B96SRHP050,390214.677222222,1430753.68833333,1086.57
B96SRHP051,390109.507222222,1430899.84833333,1087.16
B96SRHP052,390853.207222222,1431005.01833333,1056.57
B96SRHP053,389982.197222222,1431513.66833333,1083.3
BGHP001,388205.927222222,1431939.06833333,1097.14
BGHP002,387387.937222222,1431466.91833333,1080.37
BGHP003,387055.067222222,1430236.50833333,1122.97
BGHP004,387031.347222222,1428656.75833333,1137.94
BGHP005,387276.117222222,1427132.14833333,1102.11
BGHP006,392836.037222222,1427867.38833333,1052.59
BR01,390320.01272516,1429889.99961132,1191.921
BR02,390496.248646058,1429981.18405315,1085.607
BR03,390467.783817441,1430196.49672966,1072.186
BR04,390975.770701171,1430925.50425609,1030.102
BR05,391044.150283221,1430902.5313981,1033.401
BR06,391034.660340534,1430960.91303922,1033.728
BR07,391127.027777102,1430839.39078714,1034.435
BR08,391154.635608117,1430849.36472618,1032.618
BR09,390168.185654288,1429852.86083765,1102.423
BR10,390785.152872149,1430522.18573218,1045.029
BSSD01,387506.837222222,1433578.12833333,1051.47
BSSD02,387690.957222222,1433278.64833333,1048.91
BSSD03,387937.427222222,1433036.55833333,1046.77
BSSD04,389472.987222222,1432743.85833333,1029.39
BSSD05,390919.717222222,1433283.20833333,1017.96
BSSD06,392086.477222222,1422201.17833333,1000.09
BSSD07,392229.127222222,1422038.67833333,998.18
BSSD08,392618.567222222,1422019.93833333,999.28
BSSD09,393973.257222222,1418540.82833333,986.28
BSSD10,394207.237222222,1418289.71833333,978.57
BSSO01,386773.737222222,1431643.37833333,1073.25
BSSO02,387569.397222222,1432083.35833333,1060.2
BSSO03,387912.637222222,1431037.96833333,1108.12
BSSO04,387256.747222222,1429209.82833333,1107.55
BSSO05,386872.677222222,1428961.50833333,1139.96
BSSO06,386200.087222222,1427353.05833333,1088.77
BSSO07,395830.317222222,1425876.91833333,989.36
BSSO08,394025.427222222,1418320.83833333,999.39
BSSO10,396950.867222222,1419360.14833333,984.85
BSSO11,394051.187222222,1428698.29833333,1030.26
BSSO12,395712.387222222,1428761.20833333,953.18
BSSO13,395304.907222222,1428969.42833333,968.32
BSSO14,394487.727222222,1428311.70833333,1015.61
BSSO15,393794.307222222,1427875.79833333,1023.41
BSSO16,394484.877222222,1427700.39833333,1018.57
BSSO17,394858.717222222,1427119.11833333,974.73
BSSO18,394362.127222222,1426282.78833333,969.38
BSSO19,395547.957222222,1426475.30833333,973.46
BSSO20,395773.757222222,1426190.23833333,986.6
BSSO21,397446.067222222,1426324.49833333,987.43
BSSO22,396749.827222222,1425722.80833333,976.91
BSSO23,399089.657222222,1424302.86833333,1010.65
BSSO24,394038.537222222,1419186.34833333,1020.12
BSSO25,395009.137222222,1418687.10833333,991.69
BSSO26,398332.687222222,1421865.77833333,967.29
BSSO27,394925.017222222,1420134.42833333,1024.05
BSSO28,397402.347222222,1418626.54833333,963.5
C130HP001,390686.877222222,1429408.82833333,1107.96
C130HP002,390676.837222222,1429364.81833333,1107.94
C130HP003,390670.257222222,1429341.12833333,1108
C130HP004,390660.957222222,1429313.09833333,1108.07
C130HP005,390654.747222222,1429293.02833333,1108.07
C130HP006,390691.137222222,1429281.56833333,1107.75
C130HP007,390724.817222222,1429422.87833333,1107.54
C130HP008,390705.727222222,1429431.02833333,1107.68
C130HP009,390723.997222222,1429436.39833333,1107.49
C130HP010,390746.307222222,1429429.07833333,1107.37
C130HP011,390696.037222222,1429393.77833333,1107.81
C130HP012,390725.907222222,1429398.15833333,1107.57
C130HP013,390757.507222222,1429418.01833333,1107.26
C130HP014,390702.267222222,1429367.83833333,1107.73
C130HP015,390736.377222222,1429371.87833333,1107.45
C130HP016,390774.667222222,1429375.08833333,1107.2
C130HP017,390699.547222222,1429344.87833333,1107.74
C130HP018,390761.497222222,1429343.85833333,1107.17
C130HP019,390695.847222222,1429321.08833333,1107.76
C130HP020,390748.647222222,1429322.86833333,1106.97
C130HP021,390732.217222222,1429460.42833333,1107.31
C130HP022,390678.457222222,1429427.91833333,1107.91
C130HP023,390651.987222222,1429353.61833333,1108.24
C130HP024,390591.357222222,1429371.05833333,1108.87
C130HP025,390621.397222222,1429457.99833333,1108.23
C130HP026,390768.757222222,1429502.14833333,1106.98
C130HP027,390836.377222222,1429377.67833333,1107.11
C130HP028,390820.527222222,1429339.29833333,1106.98
C130HP029,390797.447222222,1429312.24833333,1107.07
C130HP030,390838.237222222,1429186.34833333,1107.51
C5-STREAM01,394763.827222222,1421331.50833333,965.65
C5-STREAM02,394685.657222222,1421323.57833333,971.22
C5HP002,394499.817222222,1421068.50833333,992.96
C5HP002A,394500.507222222,1421069.44833333,995
C5HP008,394539.277222222,1421087.68833333,995
C5HP009,394504.897222222,1421037.16833333,995
C5HP010,394541.357222222,1420995.50833333,995
C5HP011,394429.667222222,1421112.30833333,996.55
C5HP012,394421.407222222,1421200.53833333,1003.49
C5HP013,394493.167222222,1421131.70833333,993.67
C5HP015,394823.717222222,1420972.01833333,1002.03
C5HP017,394940.007222222,1421206.65833333,976.41
C5HP018,394819.247222222,1421258.02833333,979.02
C5HP019,394704.897222222,1421368.00833333,977.15
C5HP020,394486.777222222,1421006.77833333,993.77
C5HP021,394531.187222222,1421133.80833333,992.23
C5HP028,394443.917222222,1420953.70833333,995.05
C5MW01,394003.887222222,1419980.40833333,1020.25
C5MW02,394503.127222222,1421107.14833333,992.49
C5MW03,394577.957222222,1421229.88833333,990.14
C5MW04,394693.767222222,1421274.38833333,975.55
C5MW05,394714.007222222,1421276.34833333,976.43
C5MW06,394496.217222222,1421101.50833333,992.52
C5MW07,394718.417222222,1420227.07833333,1026.31
C5MW08,394013.957222222,1419979.88833333,1019.95
C5MW09,394561.227222222,1420955.05833333,993.28
C5MW10,394641.177222222,1421021.24833333,993.39
C5MW11,394603.157222222,1421114.24833333,992.69
C5MW12,394370.237222222,1421148.07833333,1006.89
C5MW13,394495.637222222,1421286.87833333,1001.62
C5MW14,394628.877222222,1421359.65833333,978.19
C5MW15,394710.947222222,1421194.75833333,981.76
C5MW16,393930.647222222,1421050.87833333,1008.87
C5MW17,394558.537222222,1421051.46833333,993.05
C5MW18,394551.757222222,1421093.77833333,992.83
C5MW19,394539.247222222,1421168.13833333,992.18
C5OWS,394569.097222222,1420991.45833333,995
C5RW-1,394325.717222222,1420895.66833333,1015.53
C5SB001,394412.097222222,1420759.45833333,1010
C5SB002,394411.097222222,1420710.45833333,1010
C5SB003,394349.097222222,1420810.45833333,1010
C5SB004,394349.097222222,1420723.45833333,1010
C5SB005,394286.097222222,1420839.45833333,1080
C5SW02,394761.247222222,1421343.49833333,976
C5SWSD001,394595.457222222,1421321.49833333,966.79
C5SWSD002,394735.577222222,1421331.28833333,965.87
C5SWSD003,394898.157222222,1421407.00833333,961.78
D10-MW-51,394074.187222222,1420741.16833333,1012.7
D10-MW-52,394085.457222222,1420878.02833333,1011.37
D10-MW-53,394526.967222222,1420670.45833333,1039.72
D10-MW-54,394701.297222222,1420516.15833333,1050.54
D10-MW-56,394353.967222222,1420846.24833333,1017.59
D10-MW-58,394363.387222222,1420941.89833333,1007.04
D10-MW-59,394147.577222222,1421003.87833333,1009.77
D10-RW-1,394325.567222222,1420895.69833333,1017.78
D10-SB-10,394393.427222222,1420762.76833333,1022.06
D10-SB-12,394200.267222222,1420733.10833333,1012.31
D10-SB-13,394158.697222222,1420830.59833333,1011.76
D10-SB-14,394220.617222222,1420823.61833333,1010.46
D10-SB-15,394165.167222222,1420906.20833333,1010.83
D10-SB-17,394401.037222222,1421147.94833333,998.28
D10-SB-18,394640.297222222,1421020.10833333,992.9
D10-SB-1A,394121.417222222,1420978.34833333,1009.67
D10-SB-2,394113.927222222,1420945.81833333,1009.98
D10-SB-3,394154.827222222,1420943.44833333,1009.37
D10-SB-5,394140.177222222,1420982.97833333,1009.72
D10-SB-6,394130.257222222,1421016.99833333,1010.06
D10-SB-7,394221.287222222,1421043.94833333,1007.53
D10-SB-9,394478.187222222,1420707.85833333,1030.02
D10-SB-LP1,394350.377222222,1420796.22833333,1009.34
D10-SB-LP2,394343.937222222,1420734.26833333,1009.38
D10-SB-UP1,394411.567222222,1420730.25833333,1018.04
D10-SS-1,394707.177222222,1420435.01833333,1046.94
D10-SS-2,394468.037222222,1420910.72833333,995.18
D10-SS-3,394541.697222222,1420443.56833333,1040.23
D10-SS-4,394738.147222222,1420705.85833333,1034.91
D10-SS-LP1,394346.497222222,1420740.19833333,1009.59
D10-SW-LP1,394349.667222222,1420778.40833333,1008.98
D3-24,392598.357222222,1425932.34833333,982.85
D3-25,392496.517222222,1425642.09833333,987.61
D4-1,391995.277222222,1426194.16833333,1026.1
D4-2,392438.997222222,1425993.45833333,997.3
D5-10,390407.617222222,1427113.02833333,1059.15
D5-11,390595.717222222,1427112.07833333,1063.3
D5-26,390514.427222222,1427221.64833333,1052.68
D5-34,390433.467222222,1427216.43833333,1053.68
D5-35,390716.017222222,1427143.48833333,1059.15
D5-36,390795.347222222,1427052.48833333,1058.98
D5-37,390909.577222222,1426955.50833333,1053.49
D5-48,390229.497222222,1426807.45833333,1072.48
D5-49,390934.797222222,1427130.45833333,1041.2
D5-50,390776.097222222,1427406.45833333,1049.8
D5-9,390467.827222222,1426763.77833333,1078.83
D6-16,391479.977222222,1426810.76833333,1044.1
D6-27,391595.797222222,1426799.45833333,1025.64
D6-28,391579.997222222,1426675.45833333,1033.82
D6-29,391387.277222222,1426252.78833333,1015
D6-30,391163.837222222,1426519.10833333,1050.21
D6-38,391604.387222222,1426893.23833333,1014.1
D6-39,391601.577222222,1426898.08833333,1014.2
D6-40,391672.307222222,1426525.77833333,1018.79
D9-MW-G10,390377.997222222,1430322.70833333,1082.94
DAHP001,390496.727222222,1430470.29833333,1078
DAHP002,390538.057222222,1430435.57833333,1075.41
DAHP003,390582.457222222,1430413.70833333,1073.97
DAHP004,390595.617222222,1430358.09833333,1073.03
DPT02A,389992.131729107,1430012.15385656,1103.837
DPT02M,389996.306703612,1430009.00387597,1103.376
DPT03A,390012.258606167,1429999.29893581,1099.578
DPT03M,390007.577634774,1430001.02092517,1106.776
