LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1
MW26,389939.71789000003,1429596.93583,1109.5250900000001,1112.11,44.8,49.8,49.8,0,389939.71789000003,1429596.93583
MW27,390355.32,1429988.4,1094.14,1096.81,50,55,55,0,390355.32,1429988.4
MW29,390849.29,1430558.13,1039.49,1042.67,25.5,30.5,30.5,0,390849.29,1430558.13
MW30A,391100.59,1430872.21,1027.00,1030.18,20.5,25.5,25.5,0,391100.59,1430872.21
MW30AR,391101.508579,1430876.892959,1026.648179,1030.18,20.5,25.5,25.5,0,391101.508579,1430876.892959
MW30B,391096.78,1430876.38,1027.30,1029.55,52,62,62,0,391096.78,1430876.38
MW30BR,391097.396938,1430881.342685,1026.195551,1030.18,20.5,25.5,25.5,0,391097.396938,1430881.342685
MW31,390991.64,1430196.22,1063.20,1065.54,25.5,30.5,30.5,0,390991.64,1430196.22
MW5,390538.26,1430020.14,1086.96,1089.47,56,66,66,0,390538.26,1430020.14
MW52,391791.33,1430049.17,1089.32,1091.43,17,27,27,0,391791.33,1430049.17
MW53,391515.65,1430113.84,1099.78,1102.4,18.5,28.5,28.5,0,391515.65,1430113.84
MW54,391469.75,1430193.22,1082.64,1084.93,20,30,30,0,391469.75,1430193.22
MW56,391363.95,1430438.33,1068.10,1070.4,14,24,24,0,391363.95,1430438.33
MW6,390375.42,1429767.19,1106.97,1108.51,NA,NA,NA,0,390375.42,1429767.19
MW7,391637.29,1430175.61,969.93,1101.18,NA,NA,NA,0,391637.29,1430175.61
MW99-01A,391862.77,1430282.71,1084.88,1084.87,100,120,120,0,391862.77,1430282.71
MW99-01B,391848.73,1430293.32,1084.92,1084.91,30,40,40,0,391848.73,1430293.32
MW99-02A,391966.05,1430054,1083.04,1082.78,110,130,130,0,391966.05,1430054
MW99-02B,391952.99,1430041.29,1083.22,1083.08,19,24,24,0,391952.99,1430041.29
MW99-03A,392173.86,1429864.13,1065.46,1065.1,170,194,194,0,392173.86,1429864.13
MW99-03B,392176.45999999996,1429864.63,1065.46,1065.21,54,75,75,0,392176.45999999996,1429864.63
MWG1,389951.44,1429630.23,1109.20,1111.87,102.3,127,127,0,389951.44,1429630.23
MWG10,390358.87,1430287.86,1080.29,1082.95,53.5,63.5,63.5,0,390358.87,1430287.86
MWG11,390841.83,1430616.58,1035.01,1037.55,62,87,87,0,390841.83,1430616.58
MWG12,391633.43,1429886.81,1100.53,1102.91,20,40.7,40.7,0,391633.43,1429886.81
MWG14,391368.36,1430003.25,1101.70,1100.66,7.5,20.8,20.8,0,391368.36,1430003.25
MWG15,391335.53,1430101.7,1091.32,1093.6,27,37,37,0,391335.53,1430101.7
MWG16,391645.56,1430136.14,1100.54,1102.86,15,35,35,0,391645.56,1430136.14
MWG17,391718.66,1430136.86,1099.18,1101.87,18.8,28.8,28.8,0,391718.66,1430136.86
MWG19,391646.29,1430132.59,1100.65,1102.96,55,60,60,0,391646.29,1430132.59
MWG1A,389950.37389,1429626.7301400001,1109.08716,1111.68,60.7,71,71,0,389950.37389,1429626.7301400001
MWG2,390162.47,1429689.52,1108.88,1111.45,65.5,83.5,83.5,0,390162.47,1429689.52
MWG20,391635.89,1430299.92,1083.69,1086.13,19.8,29.8,29.8,0,391635.89,1430299.92
MWG21,391354.63,1430435.35,1068.43,1070.27,31.2,41.2,41.2,0,391354.63,1430435.35
MWG22,391499.62,1430490.72,1069.10,1071.27,36.5,46.5,46.5,0,391499.62,1430490.72
MWG3,389836.31,1429719.02,1104.47,1107.31,30.5,48,48,0,389836.31,1429719.02
MWG31,390990.74,1430197.22,1063.17,NA,NA,NA,NA,0,390990.74,1430197.22
MWG3R,389835.96,1429722.61,1104.47,1105.11,32.5,47.5,47.5,0,389835.96,1429722.61
MWG4,390562.01,1429820.81,1105.18,1108.55,66.8,76.8,76.8,0,390562.01,1429820.81
MWG5,390432.26,1429974.05,1090.75,1093.58,65.7,80.7,80.7,0,390432.26,1429974.05
MWG5-5R,390639.06,1430789.88,1062.45,1064.9,67.9,82.9,82.9,0,390639.06,1430789.88
MWG5-6,390729.87,1430718.45,1038.80,1041.04,16.5,36.5,36.5,0,390729.87,1430718.45
MWG6,390485.37,1430546.76,1074.66,1075.84,49.5,59.5,59.5,0,390485.37,1430546.76
MWG7,390844.21,1429759.71,1104.49,1107.14,41.5,51.5,51.5,0,390844.21,1429759.71
MWOS-01,390640.46,1431650.49,1040.65,1040.64,NA,NA,NA,0,390640.46,1431650.49
MWOS-02,391425.44,1431128.09,1012.73,1012.63,NA,NA,NA,0,391425.44,1431128.09
MWOS-03,391430.84,1431125.09,1012.73,1015.85,11,21,21,0,391430.84,1431125.09
MWOS-04,391797.52,1430389.51,1075.16,1078.09,13,23,23,0,391797.52,1430389.51
MWOS-09,392250.5,1430914.92,1002.99,1003.05,51.5,61.5,61.5,0,392250.5,1430914.92
MWOS-10,392239.14,1430920.36,1002.99,1003.13,NA,NA,NA,0,392239.14,1430920.36
MWOS-11,392353.4,1430980.6,1009.94,1013.38,35,45,45,0,392353.4,1430980.6
MWOS-12,392352.28,1430989.71,1012.21,1015.75,NA,NA,NA,0,392352.28,1430989.71
OB,391103,1430908.8,ND,NA,NA,NA,NA,0,391103,1430908.8
OB201A,390483.21,1431264.71,1029.50,1029.29,16.4,21.4,21.4,0,390483.21,1431264.71
OB201B,390484.36,1431259.43,1029.50,1028.82,NA,NA,NA,0,390484.36,1431259.43
OB202A,390870.36,1431057.97,1053.50,1055.27,NA,NA,NA,0,390870.36,1431057.97
OB202B,390789.49,1431096.55,1058.10,1058.87,NA,NA,NA,0,390789.49,1431096.55
OB202C,390867.77,1431054.64,1053.75,1055.15,29.5,34.5,34.5,0,390867.77,1431054.64
OB203A,390955.64,1430884.9,1035.41,1037.45,NA,NA,NA,0,390955.64,1430884.9
OB203B,391045.14,1430921.31,1027.23,1028.89,NA,NA,NA,0,391045.14,1430921.31
OB203C,391048.82,1430918.03,1026.96,1028.08,24.2,29.2,29.2,0,391048.82,1430918.03
OB203CR,391047.522244,1430924.486752,1027.1501270000001,1028.08,24.2,29.2,29.2,0,391047.522244,1430924.486752
OB204A,391400.32,1430633.24,1072.60,1074.07,NA,NA,NA,0,391400.32,1430633.24
OB204B,391358.91,1430664.95,1066.76,1066.46,NA,NA,NA,0,391358.91,1430664.95
OB204C,391432.91,1430580.95,1071.88,1073.37,NA,NA,NA,0,391432.91,1430580.95
OB205A,391491.51,1430489.43,1068.55,1068.44,NA,NA,NA,0,391491.51,1430489.43
OB205B,391441.81,1430477.28,1067.77,1069.09,NA,NA,NA,0,391441.81,1430477.28
OB206A,391668.31,1430244.76,1093.92,1095.69,NA,NA,NA,0,391668.31,1430244.76
OB208A,390685.68,1431210.27,1036.57,1037.52,60,160,160,0,390685.68,1431210.27
OB208B,390621.52,1431167.34,1036.40,1038.23,37.5,147.5,147.5,0,390621.52,1431167.34
OB208C,390619.55,1431253.09,1031.90,1031.6,NA,NA,NA,0,390619.55,1431253.09
OB209A,391305.5,1430739.61,1053.28,1053.03,NA,NA,NA,0,391305.5,1430739.61
OW1A,391111.55485,1430775.97185,1031.1500000000001,975.01,24.5,29.5,29.5,0,391111.55485,1430775.97185
OW2,391124.72,1430797.07,1031.57,1031.58,NA,NA,NA,0,391124.72,1430797.07
OW3,391146.62,1430766.51,1033.40,1033.17,NA,NA,NA,0,391146.62,1430766.51
PMW7,390024.93,1431438.81,1081.96,1082.8,87.5,102.5,102.5,0,390024.93,1431438.81
PMW7D,390038.39,1431433.98,1082.83,1082.82,NA,NA,NA,0,390038.39,1431433.98
PS,391456.33678,1430511.68128,1068.6596,NA,NA,NA,NA,0,391456.33678,1430511.68128
PZ02,391386.04,1431147.23,1015.10,NA,NA,NA,NA,0,391386.04,1431147.23
PZ03,392400.08,1430907.28,1002.58,1003.48,3,13,13,0,392400.08,1430907.28
RW201,390525.19,1431289.48,1029.65,1028.44,NA,NA,NA,0,390525.19,1431289.48
RW202,390859.36,1431064.02,1052.44,1053.55,NA,NA,NA,0,390859.36,1431064.02
RW203,391035.78,1430934.07,1027.74,1025.03,NA,NA,NA,0,391035.78,1430934.07
RW204,391389.28,1430635.3,1071.88,1073.54,NA,NA,NA,0,391389.28,1430635.3
RW205,391495.54,1430501.42,1069.06,1070.97,NA,NA,NA,0,391495.54,1430501.42
RW206,391613.51,1430265.29,1084.09,1083.79,NA,NA,NA,0,391613.51,1430265.29
RW207,391155.36,1430836.18,1031.89,1031.94,NA,NA,NA,0,391155.36,1430836.18
RW208,390687.66,1431210.99,1036.70,1036.3,52,152,152,0,390687.66,1431210.99
RW209,391312.18,1430733.96,1054.54,1056.04,NA,NA,NA,0,391312.18,1430733.96
SCT1 [A],391597.77,1431492.59,1010.01,NA,NA,NA,NA,0,391597.77,1431492.59
SCT1 [B],391600.87,1431498.59,1010.01,NA,NA,NA,NA,0,391600.87,1431498.59
SCT1 [C],391593.37,1431492.49,1010.01,NA,NA,NA,NA,0,391593.37,1431492.49
SCT2 [A],391206.18,1431184.98,1026.00,NA,NA,NA,NA,0,391206.18,1431184.98
SCT2 [B],391208.27999999997,1431189.98,1026.00,NA,NA,NA,NA,0,391208.27999999997,1431189.98
SCT2 [C],391205.77999999997,1431182.88,1026.00,NA,NA,NA,NA,0,391205.77999999997,1431182.88
SCT3,391220.25,1431186.94,1026.00,1026.48,65,95,95,0,391220.25,1431186.94
SCT4,392147.54,1431407.84,1009.00,1014.8,NA,NA,NA,0,392147.54,1431407.84
SCT5,392147.92,1431417.5,1009.00,1014.17,57,77,77,0,392147.92,1431417.5
SCT6,391276.34,1432195.27,1026.00,1027.87,NA,NA,NA,0,391276.34,1432195.27
SCT7,391281.83,1432187.92,1025.00,1029.28,35,55,55,0,391281.83,1432187.92
SG02,391385.53,1431157.13,"NA",NA,NA,NA,NA,0,391385.53,1431157.13
SG03,392320.41,1430912.02,"NA",NA,NA,NA,NA,0,392320.41,1430912.02
SWMU19MW-1A,390897.8085,1431023.379,1051.26,1050.81,124.35,144.35,144.35,0,390897.8085,1431023.379
SWMU19MW-1B,390899.40849999996,1431028.879,1051.26,1050.79,74.45,94.45,94.45,0,390899.40849999996,1431028.879
SWMU19MW-1C,390894.40849999996,1431021.2789999999,1051.26,1050.9,34.46,54.46,54.46,0,390894.40849999996,1431021.2789999999
SWMU19MW-2A,390943.9183,1431017.8004,1046.42,1045.52,93,113,113,0,390943.9183,1431017.8004
SWMU19MW-2B,390941.5183,1431016.3004,1046.42,1045.53,65.43,85.43,85.43,0,390941.5183,1431016.3004
SWMU19MW-3A,390978.8916,1431024.7279,1042.5999999999999,1041.92,103.05,118.05,118.05,0,390978.8916,1431024.7279
SWMU19MW-3B,390987.49159999995,1431027.2279,1042.5999999999999,1041.88,75.77,90.77,90.77,0,390987.49159999995,1431027.2279
SWMU19MW-3C,390976.49159999995,1431025.1279,1042.5999999999999,1041.58,36.02,51.02,51.02,0,390976.49159999995,1431025.1279
SWMU19MW-4A,390989.896,1430979.7228,1035.43,1035.1,94.67,114.67,114.67,0,390989.896,1430979.7228
SWMU19MW-4B,390991.996,1430977.7228,1035.43,1034.81,63.73,83.73,83.73,0,390991.996,1430977.7228
SWMU19MW-4C,390988.996,1430976.1228,1035.43,1034.93,33.91,48.91,48.91,0,390988.996,1430976.1228
SWPS1,390730,1430618,ND,NA,NA,NA,NA,0,390730,1430618
SWPS2,390721,1430588,ND,NA,NA,NA,NA,0,390721,1430588
SWPS5,390721,1430642,ND,NA,NA,NA,NA,0,390721,1430642
VE-A (finish),389766.978459,1429415.986582,1107.0211059999999,NA,NA,NA,NA,0,389766.978459,1429415.986582
VE-A (start),390244.330674,1430267.543983,1095.0714519999999,NA,NA,NA,NA,0,390244.330674,1430267.543983
VE1,389886.75,1429648.08,1107.49,1107.29,52,62,62,0,389886.75,1429648.08
VE2,389972.58,1429733.43,1105.57,1105.63,50,60,60,0,389972.58,1429733.43
VE3,389923.02,1429716.93,1105.46,1105.43,50,60,60,0,389923.02,1429716.93
VE4,389928.62,1429518.92,1109.88,1109.36,50,60,60,0,389928.62,1429518.92
VE5,389945.60367,1429575.78547,1109.3825200000001,1109.02,50,60,60,0,389945.60367,1429575.78547
VE6,389855.41,1429508.41,1107.69,1107.37,30,40,40,0,389855.41,1429508.41
VE7,389876.5,1429571.13,ND,1107.31,50,60,60,0,389876.5,1429571.13
VE8,389845.1,1429644.55,1106.88,1106.25,50,60,60,0,389845.1,1429644.55
VE9,389873.26,1429623.16,1107.42,1106.47,50,60,60,0,389873.26,1429623.16
