LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1
B04601B,390316.739,1430267.756,1093.0820000000001,1092.83,54,54.1,54.1,0,390316.739,1430267.756
B04601C,390313.239,1430267.156,1093.0820000000001,1092.83,63,63.1,63.1,0,390313.239,1430267.156
B04601D,390320.739,1430268.656,1093.0820000000001,1092.83,72,72.1,72.1,0,390320.739,1430268.656
B04601E,390315.239,1430265.656,1093.0820000000001,1092.83,81,81.1,81.1,0,390315.239,1430265.656
B04601F,390313.739,1430266.156,1093.0820000000001,1092.83,90,90.1,90.1,0,390313.739,1430266.156
B04601G,390314.239,1430265.656,1093.0820000000001,1092.83,99,99.1,99.1,0,390314.239,1430265.656
B04602,390442.66,1430205.21,1075.6600000000001,1075.39,45,55,55,0,390442.66,1430205.21
B04603,390594.995,1430261.984,1070.79,1070.63,55,65,65,0,390594.995,1430261.984
B04604,389887.589,1429512.04,1108.6600000000001,1108.16,85,95,95,0,389887.589,1429512.04
B04605,389961.298,1429720.866,1104.8150000000001,1104.5,70,80,80,0,389961.298,1429720.866
B04606,390110.65,1429878.796,1107.6510000000001,1107.4,71,81,81,0,390110.65,1429878.796
B04607,390204.508,1430030.281,1098.011,1097.62,95,105,105,0,390204.508,1430030.281
B04608,389867.444,1429639.641,1107.087,1106.72,88,98,98,0,389867.444,1429639.641
B04609,389913.928,1429731.949,1105.175,NA,NA,NA,NA,0,389913.928,1429731.949
B04610,389981.653,1429841.223,1103.44,NA,NA,NA,NA,0,389981.653,1429841.223
B04611,389983.135,1429581.173,1109.415,NA,NA,NA,NA,0,389983.135,1429581.173
B04612,389979.161,1429644.652,1108.8579999999999,NA,NA,NA,NA,0,389979.161,1429644.652
B04613,390148.584,1429862.009,1108.3040000000001,NA,NA,NA,NA,0,390148.584,1429862.009
B04615,391056.419,1430930.731,1028.1189999999999,NA,NA,NA,NA,0,391056.419,1430930.731
B04616,391070.077,1430904.825,1027.364,NA,NA,NA,NA,0,391070.077,1430904.825
B04617,391052.78,1430956.15,1029.95,NA,NA,NA,NA,0,391052.78,1430956.15
B04618,391060.95,1430941.95,1028.17,NA,NA,NA,NA,0,391060.95,1430941.95
B04619,391068.24,1430929.05,1028.31,NA,NA,NA,NA,0,391068.24,1430929.05
B04620,391074.09,1430914.24,1026.3399999999999,NA,NA,NA,NA,0,391074.09,1430914.24
B04621,391079.48,1430900.74,1027.08,NA,NA,NA,NA,0,391079.48,1430900.74
