Point_No_,Northing,Easting,Elevation,Descriptio,ID_Name,Checked_if,Reason,coords.x1,coords.x2
7247,1430152.211,2186905.44,1094.329,BH-23M,DPT23M,NA,NA,390316.16905151383,1430107.653130805
0,0,0,0,BH-46(A&M),DPT46(A&M),NA,NOT FOUND,-17976931348623157e292,-17976931348623157e292
7248,1430152.133,2186890.571,1094.912,BH-22M,DPT22M,NA,NA,390301.3000515139,1430107.575130805
7249,1430157.928,2186890.299,1094.971,BH-22A,DPT22A,NA,NA,390301.028051514,1430113.370130805
7250,1430168.468,2186889.813,1094.926,MW-OB/03,OB03,NA,NA,390300.54205151397,1430123.910130805
7250,1430168.468,2186889.813,1094.986,NA,OB03,NA,Pavement Elevation,390300.54205151397,1430123.910130805
7250,1430168.468,2186889.813,1094.987,NA,OB03,NA,PVC PIPE,390300.54205151397,1430123.910130805
7251,1430165.961,2186876.339,1095.427,BH-21A,DPT21A,NA,NA,390287.06805151404,1430121.403130805
7252,1430162.601,2186875.151,1095.505,BH-21M,DPT21M,NA,NA,390285.88005151396,1430118.043130805
7253,1430285.3,2186713.008,1097.076,BH-15,DPT15,NA,NA,390123.7370515138,1430240.742130805
7254,1430219.415,2186816.44,1097.957,BH-17,DPT17,NA,Unable to determine A or M,390227.16905151383,1430174.857130805
7255,1430255.133,2186984.373,1079.099,MN-OB/01,OB01,NA,NA,390395.102051514,1430210.575130805
7255,1430255.133,2186984.373,1079.191,NA,OB01,NA,PVC PIPE,390395.102051514,1430210.575130805
7255,1430255.133,2186984.373,1079.235,NA,OB01,NA,Pavement Elevation,390395.102051514,1430210.575130805
7256,1430289.155,2187080.323,1074.708,MN-BR/03,BR03,NA,NA,390491.05205151375,1430244.597130805
7256,1430289.155,2187080.323,1074.123,NA,BR03,NA,Ground Elevation,390491.05205151375,1430244.597130805
7256,1430289.155,2187080.323,1074.713,NA,BR03,NA,PVC PIPE,390491.05205151375,1430244.597130805
7273,1430943.438,2187767.593,1030.236,MW-BR/08,BR08,NA,NA,391178.32205151377,1430898.880130805
7273,1430943.438,2187767.593,1030.189,NA,BR08,NA,PVC PIPE,391178.32205151377,1430898.880130805
7273,1430943.438,2187767.593,1029.636,NA,BR08,NA,Ground Elevation,391178.32205151377,1430898.880130805
7277,1430956.16,2187753.851,1028.451,MW-OB/08,OB08,NA,NA,391164.5800515137,1430911.602130805
7277,1430956.16,2187753.851,1028.394,NA,OB08,NA,Ground Elevation,391164.5800515137,1430911.602130805
7277,1430956.16,2187753.851,1028.446,NA,OB08,NA,PVC PIPE,391164.5800515137,1430911.602130805
7281,1430933.34,2187739.968,1029.643,MW-BR/07,BR07,NA,NA,391150.69705151377,1430888.782130805
7281,1430933.34,2187739.968,1029.611,NA,BR07,NA,PVC PIPE,391150.69705151377,1430888.782130805
7281,1430933.34,2187739.968,1029.341,NA,BR07,NA,Ground Elevation,391150.69705151377,1430888.782130805
7282,1431005.304,2187720.929,1027.311,BH-40,DPT40,NA,Unable to determine A or M,391131.6580515139,1430960.746130805
7283,1431014.138,2187698.523,1025.427,BH-37,DPT37,NA,Unable to determine A or M,391109.25205151393,1430969.580130805
7284,1431037.941,2187685.489,1029.566,BH-38,DPT38,NA,Unable to determine A or M,391096.21805151395,1430993.383130805
7285,1430999.673,2187676.091,1026.654,BH-39,DPT39,NA,Unable to determine A or M,391086.8200515139,1430955.115130805
7286,1431014.717,2187667.131,1027.045,BH-36,DPT36,NA,Unable to determine A or M,391077.86005151394,1430970.159130805
7287,1431026.496,2187660.001,1028.188,BH-45,DPT45,NA,Unable to determine A or M,391070.73005151405,1430981.938130805
7288,1431045.848,2187649.705,1030.994,BH-44,DPT44,NA,Unable to determine A or M,391060.43405151396,1431001.290130805
7289,1431052.766,2187646.058,1032.04,BH-42,DPT42,NA,Unable to determine A or M,391056.7870515141,1431008.208130805
7290,1431055.395,2187647.969,1032.309,MW-BR/06,BR06,NA,NA,391058.69805151393,1431010.837130805
7290,1431055.395,2187647.969,1032.295,NA,BR06,NA,PVC PIPE,391058.69805151393,1431010.837130805
7290,1431055.395,2187647.969,1032.159,NA,BR06,NA,Ground Elevation,391058.69805151393,1431010.837130805
7293,1430993.618,2187659.662,1027.46,BH-33,DPT33,NA,Unable to determine A or M,391070.3910515139,1430949.060130805
7294,1430981.187,2187671.524,1027.134,BH-34,DPT34,NA,Unable to determine A or M,391082.2530515141,1430936.629130805
7296,1430996.835,2187657.189,1027.853,BH-BR/05,BR05,NA,NA,391067.91805151367,1430952.277130805
7296,1430996.835,2187657.189,1027.562,NA,BR05,NA,Ground Elevation,391067.91805151367,1430952.277130805
7296,1430996.835,2187657.189,1027.816,NA,BR05,NA,PVC PIPE,391067.91805151367,1430952.277130805
7298,1431012.978,2187639.846,1028.565,BH-32,DPT32,NA,Unable to determine A or M,391050.5750515138,1430968.4201308049
7299,1431025.78,2187626.835,1030.122,BH-31,DPT31,NA,Unable to determine A or M,391037.56405151385,1430981.222130805
7300,1431038.654,2187606.348,1032.523,BH-43,DPT43,NA,Unable to determine A or M,391017.0770515141,1430994.096130805
7302,1430616.147,2187390.278,1044.689,MW-10,MW10,NA,NA,390801.0070515138,1430571.589130805
7302,1430616.147,2187390.278,1040.328,NA,MW10,NA,Ground Elevation,390801.0070515138,1430571.589130805
7302,1430616.147,2187390.278,1044.308,NA,MW10,NA,PVC PIPE,390801.0070515138,1430571.589130805
7305,1430611.051,2187403.582,1044.994,MW-10,MW10X,NA,NA,390814.3110515138,1430566.493130805
7305,1430611.051,2187403.582,1044.538,NA,MW10X,NA,PVC PIPE,390814.3110515138,1430566.493130805
7305,1430611.051,2187403.582,1040.85,NA,MW10X,NA,Ground Elevation,390814.3110515138,1430566.493130805
7307,1430952.442,2187694.523,1027.711,BH-35,DPT35,NA,Unable to determine A or M,391105.25205151393,1430907.884130805
7308,1431026.28,2187599.777,1032.752,MW-OB/04,OB04,NA,NA,391010.50605151366,1430981.722130805
7308,1431026.28,2187599.777,1032.777,NA,OB04,NA,PVC PIPE,391010.50605151366,1430981.722130805
7308,1431026.28,2187599.777,1032.525,NA,OB04,NA,Ground Elevation,391010.50605151366,1430981.722130805
7312,1431019.63,2187589.384,1033.153,MW-BR/04,BR04,NA,NA,391000.11305151397,1430975.0721308049
7312,1431019.63,2187589.384,1032.921,NA,BR04,NA,Ground Elevation,391000.11305151397,1430975.0721308049
7312,1431019.63,2187589.384,1033.155,NA,BR04,NA,PVC PIPE,391000.11305151397,1430975.0721308049
7314,1431020.145,2187595.721,1032.798,BH-41M,DPT41M,NA,Mark Not found,391006.4500515138,1430975.587130805
7316,1431027.357,2187591.825,1033.317,BH-41A,DPT41A,NA,Mark Not found,391002.5540515141,1430982.799130805
