ID_Name,Easting,Northing,Elevation,X,Y
DPT34A,2187671.524,1430981.187,1027.134,391082.2530515141,1430936.62913
DPT32A,2187639.846,1431012.978,1028.565,391050.5750515138,1430968.42013
DPT31A,2187626.835,1431025.78,1030.122,391037.56405151385,1430981.22213
DPT43A,2187606.348,1431038.654,1032.523,391017.0770515141,1430994.09613
BR09,2186779.192,1429944.925,1107.679,390189.9210515137,1429900.36713
OB09,2186787.783,1429953.139,1107.457,390198.5120515137,1429908.58113
BR01,2186921.947,1429977.523,1106.286,390332.67605151405,1429932.96513
OB11,2186939.049,1429971.89,1106.5,390349.778051514,1429927.33213
BR02,2187107.412,1430073.864,1087.337,390518.1410515139,1430029.30613
OB03,2186889.813,1430168.468,1094.986,390300.54205151397,1430123.91013
OB01,2186984.373,1430255.133,1079.235,390395.102051514,1430210.57513
BR03,2187080.323,1430289.155,1074.123,390491.05205151375,1430244.59713
BR08,2187767.593,1430943.438,1029.636,391178.32205151377,1430898.88013
OB08,2187753.851,1430956.16,1028.394,391164.5800515137,1430911.60213
BR07,2187739.968,1430933.34,1029.341,391150.69705151377,1430888.78213
BR06,2187647.969,1431055.395,1032.159,391058.69805151393,1431010.8371300001
BR05,2187657.189,1430996.835,1027.562,391067.91805151367,1430952.27713
OB10,2187390.278,1430616.147,1040.328,390801.0070515138,1430571.58913
BR10,2187403.582,1430611.051,1040.85,390814.3110515138,1430566.49313
OB04,2187599.777,1431026.28,1032.525,391010.50605151366,1430981.72213
BR04,2187589.384,1431019.63,1032.921,391000.11305151397,1430975.07213
SB01,2187672.545,1431011.821,NA,391086.76380568766,1430965.192304118
SB02,2187693.511,1431020.32,NA,391107.7302754409,1430973.6910529612
DPT20A,2186856.302,1430177.337,NA,390270.50260930444,1430130.7327422928
DPT20M,2186849.524,1430171.123,NA,390263.72445808514,1430124.5189244165
DPT46A,2186921.939,1430145.816,NA,390336.14109037956,1430099.2126479456
DPT46M,2186923.625,1430141.979,NA,390337.82712897094,1430095.3757593331
