LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,ELEV.1
B10B10,390129.9107,1426971.037,1080.46229,1082.46,35.25,50.3,50.3,0,390129.9107,1426971.037,1080.46229
B10B11,390220.84,1427287.91,1054.78,1056.13,55.35,95,95,0,390220.84,1427287.91,1054.78
B10B2,389313.54,1427083.2,1091.24,1093.41,19,39,39,0,389313.54,1427083.2,1091.24
B10B4,389537.48,1427226.49,1079.21,1095.25,5.4,20.4,20.4,0,389537.48,1427226.49,1079.21
B10B5,389481.11,1427101.98,1086.73,1089.22,11.4,26.4,26.4,0,389481.11,1427101.98,1086.73
B10B8,389489.59,1427150.9,1084.67,1087.26,35,40,40,0,389489.59,1427150.9,1084.67
B10B9,389474.13,1427130.19,1088.01,1089.99,16,31,31,0,389474.13,1427130.19,1088.01
B10MW1,389255.21,1428289.29,1103.56,1103.33,NA,NA,NA,0,389255.21,1428289.29,1103.56
B10MWA,389765.22,1427798.75,1103.1,1104.33,NA,NA,NA,0,389765.22,1427798.75,1103.1
B10MWC,389258.65,1428290.38,1103.6,1103.12,NA,NA,NA,0,389258.65,1428290.38,1103.6
B10MWD,389925.2,1428068.82,1103,1102.6,26.31,41.63,41.63,0,389925.2,1428068.82,1103
B10MWL,390992.97,1427033.56,1040.87,1043.1,4.5,19.5,19.5,0,390992.97,1427033.56,1040.87
B10MWM,390999.06,1427021.76,1040.48,1043.82,NA,NA,NA,0,390999.06,1427021.76,1040.48
B10VW1,389484.93,1427121.77,1087.32,1087.15,2.5,22.5,22.5,0,389484.93,1427121.77,1087.32
B4MWA,391058.1,1429128.75,1103.8,1103.51,41,56,56,0,391058.1,1429128.75,1103.8
B4MWAA,390201.64,1431421.59,1069.4,1071.47,59.35,74.51,74.51,0,390201.64,1431421.59,1069.4
B4MWBB,389935.31,1430374.37,1093.7,1093.26,29,44.23,44.23,0,389935.31,1430374.37,1093.7
B4MWDD,391954.23,1429350.92,1095.7,1097.9,41,56,56,0,391954.23,1429350.92,1095.7
B4MWF,389651.02,1430751.23,1084.88,1091.62,NA,NA,NA,0,389651.02,1430751.23,1084.88
B4MWFF,391749.14,1429822.1,1099.27,1101.36,NA,NA,NA,0,391749.14,1429822.1,1099.27
B4MWH,390505.9355,1430372.926,1077.076,1076.87,64,79,79,0,390505.9355,1430372.926,1077.076
B4MWHH-A,391039.59,1429828.42,1103.11,1104.08,425,435,435,0,391039.59,1429828.42,1103.11
B4MWHH-B,391041.69,1429830.42,1103.11,1104.08,195,245,245,0,391041.69,1429830.42,1103.11
B4MWI-A,390520.8307,1430367.429,1076.68744,NA,NA,NA,NA,0,390520.8307,1430367.429,1076.68744
B4MWI-B,390524.9307,1430370.929,1076.68744,NA,NA,NA,NA,0,390524.9307,1430370.929,1076.68744
B4MWI-C,390518.4307,1430365.329,1076.68744,NA,NA,NA,NA,0,390518.4307,1430365.329,1076.68744
B4MWQ,390642.23,1430791.46,1062.3,1064.99,NA,NA,NA,0,390642.23,1430791.46,1062.3
B4MWT,389992.37,1429611.25,1109.1,1108.52,NA,NA,NA,0,389992.37,1429611.25,1109.1
B4MWU,390264.7,1430131.16,1095.5,1095.27,104,119,119,0,390264.7,1430131.16,1095.5
B4MWV,390711.45,1429390.55,1107.4,1107.12,83.2,98.2,98.2,0,390711.45,1429390.55,1107.4
B4MWZ,390200,1430984,ND,NA,NA,NA,NA,0,390200,1430984,ND
B6,390636.96,1427025.62,1064.63,NA,18.5,33.5,33.5,0,390636.96,1427025.62,1064.63
B90529,392256.12,1427289.46,1049.23,1048.92,60,70,70,0,392256.12,1427289.46,1049.23
B90554,392124.95,1428730.21,1064.52,1067.52,93,103,103,0,392124.95,1428730.21,1064.52
B90555,392883.71,1427881.77,1053.66,NA,NA,NA,NA,0,392883.71,1427881.77,1053.66
B90A,392437.03,1428500.41,1069.2,1072,13,23,23,0,392437.03,1428500.41,1069.2
B90B,392514.76,1428428.84,1068.03,1069.59,13,23,23,0,392514.76,1428428.84,1068.03
B90B1,392574.48,1428280.7,1065.04,1067.98,33,43,43,0,392574.48,1428280.7,1065.04
B90B10,392485.59,1427310.73,1029.28,1029.9,22.19,32.22,32.22,0,392485.59,1427310.73,1029.28
B90B2,392238.86,1427976.17,1052.58,1054.86,20,30,30,0,392238.86,1427976.17,1052.58
B90B3,392396.03,1427929.04,1051.34,1053.32,20,30,30,0,392396.03,1427929.04,1051.34
B90B4,392563.39,1427930.59,1050.44,1052.13,20,30,30,0,392563.39,1427930.59,1050.44
B90B5,392508.75,1428533.41,1071.69,1072.62,19,29,29,0,392508.75,1428533.41,1071.69
B90B6,392778.84,1428060.62,1055.72,1057.37,18.5,33.5,33.5,0,392778.84,1428060.62,1055.72
B90B7,392353.14,1428569.86,1065.89,1067.64,16,56,56,0,392353.14,1428569.86,1065.89
B90B8,392554.48,1427426.48,1020.4,1021.5,28.56,38.59,38.59,0,392554.48,1427426.48,1020.4
B90BR1,392351.34,1428391.11,1066.38,1068.04,31,31,31,0,392351.34,1428391.11,1066.38
B90BR2,392346.19,1427766.11,1029.82,1030.52,28.12,28.12,28.12,0,392346.19,1427766.11,1029.82
B90BR3,392368.89,1427763.81,1030.68,1032.98,177,223,223,0,392368.89,1427763.81,1030.68
B90C,392535.39,1428414.14,1066.04,1068.27,11.5,21.5,21.5,0,392535.39,1428414.14,1066.04
B90D,392543.85,1428385.68,1066.17,1068.55,14.5,24.5,24.5,0,392543.85,1428385.68,1066.17
B90D1,392313.77,1427791.43,1029.85,1030.31,10.2,30,30,0,392313.77,1427791.43,1029.85
B90D2,392666.39,1427877.37,1040.31,1041.33,17,67,67,0,392666.39,1427877.37,1040.31
B90D3,392148.24,1427814.95,1035.83,1036.71,10,40,40,0,392148.24,1427814.95,1035.83
B90D4,392534.12,1427692.04,1032.07,1035.37,17,47,47,0,392534.12,1427692.04,1032.07
B90D5R,392830.18,1427885.78,1052.64,1053.75,30,75,75,0,392830.18,1427885.78,1052.64
B90D6,392992.55,1428040.58,1042.61,1043.84,16,46,46,0,392992.55,1428040.58,1042.61
B90D7,392861.75,1427407.49,1035.78,1036.9,18,48,48,0,392861.75,1427407.49,1035.78
B90E1,392825.07,1428478.36,1052.92,1054.16,17,57,57,0,392825.07,1428478.36,1052.92
B90E2,393257.9,1428058.85,1031.7,1032.58,13,38,38,0,393257.9,1428058.85,1031.7
B90E3,393692.76,1427382.72,1000.36,999.25,13,28,28,0,393692.76,1427382.72,1000.36
B90E4,392174.1,1427551.02,1057.01,1059.13,40,50,50,0,392174.1,1427551.02,1057.01
B90E5,391863.63,1427868.22,1074.91,1076.36,30,50,50,0,391863.63,1427868.22,1074.91
B90E6,391890.97,1428247.13,1066.38,1067.6,20,45,45,0,391890.97,1428247.13,1066.38
B90E7,392364.59,1427627.74,1020.5,1021.65,NA,NA,NA,0,392364.59,1427627.74,1020.5
B90E9,392343,1427614.01,1021.7,1025.24,3,9,9,0,392343,1427614.01,1021.7
B90MWA,392082.88,1427986.56,1064.4,1066.97,NA,NA,NA,0,392082.88,1427986.56,1064.4
B90MWB,392533.96,1427697.81,1033.6,1034.96,NA,NA,NA,0,392533.96,1427697.81,1033.6
B90MWD,392729.88,1427361.49,1021,1020.75,NA,NA,NA,0,392729.88,1427361.49,1021
B90MWE,391946.82,1428581.78,1069.1,1068.5,NA,NA,NA,0,391946.82,1428581.78,1069.1
B90MWG,392766.32,1427344.88,1020.8,1020.79,40,70,70,0,392766.32,1427344.88,1020.8
B90MWGA,392656.48,1427427.44,1021.7,NA,NA,NA,NA,0,392656.48,1427427.44,1021.7
B90MWH,392763.04,1427785.22,1048.1,1048.08,45,75,75,0,392763.04,1427785.22,1048.1
B90MWI,392126.23,1428795.28,1066.47,1068.73,64,79,79,0,392126.23,1428795.28,1066.47
B90MWJ,393097.64,1427762.67,1046.8,1047.27,NA,NA,NA,0,393097.64,1427762.67,1046.8
B90MWK,392987.74,1427012.35,1004.92,1005.77,NA,NA,NA,0,392987.74,1427012.35,1004.92
B90MWL,392986.95,1427021,1004.72,1006.96,5,20,20,0,392986.95,1427021,1004.72
B90N2,392092.63,1427985.74,1064.16,1067.27,21.5,31.5,31.5,0,392092.63,1427985.74,1064.16
B90PZ1,392667.18,1427766.4,1037.53,1040.27,36.6,46.6,46.6,0,392667.18,1427766.4,1037.53
B90RW1,392574.76,1427773.47,1037.15,1037.25,13.4,73.5,73.5,0,392574.76,1427773.47,1037.15
B90RW2,392669.73,1427838.64,1040.45,1042.62,21.6,71.7,71.7,0,392669.73,1427838.64,1040.45
B90RW3A,392742.72,1427877.13,1043.73,1045.94,16.8,76.8,76.8,0,392742.72,1427877.13,1043.73
BSSD01,387487.7435,1433541.672,1051.4696,NA,NA,NA,NA,0,387487.7435,1433541.672,1051.4696
BSSD02,387671.8557,1433242.187,1048.9081,NA,NA,NA,NA,0,387671.8557,1433242.187,1048.9081
BSSD03,387918.3337,1433000.105,1046.7656,NA,NA,NA,NA,0,387918.3337,1433000.105,1046.7656
BSSD04,389453.8908,1432707.396,1029.388,NA,NA,NA,NA,0,389453.8908,1432707.396,1029.388
BSSD05,390900.6186,1433246.747,1017.9636,NA,NA,NA,NA,0,390900.6186,1433246.747,1017.9636
BSSD06,392067.3853,1422164.717,1000.0893,NA,NA,NA,NA,0,392067.3853,1422164.717,1000.0893
BSSD07,392210.0336,1422002.225,998.18,NA,NA,NA,NA,0,392210.0336,1422002.225,998.18
BSSD08,392599.4728,1421983.48,999.2782,NA,NA,NA,NA,0,392599.4728,1421983.48,999.2782
BSSD09,393954.1596,1418504.37,986.2758,NA,NA,NA,NA,0,393954.1596,1418504.37,986.2758
BSSD10,394188.1398,1418253.255,978.5669,NA,NA,NA,NA,0,394188.1398,1418253.255,978.5669
BSSO01,386754.6373,1431606.915,1073.2544,NA,NA,NA,NA,0,386754.6373,1431606.915,1073.2544
BSSO02,387550.3033,1432046.895,1060.1979,NA,NA,NA,NA,0,387550.3033,1432046.895,1060.1979
BSSO03,387893.5416,1431001.508,1108.1203,NA,NA,NA,NA,0,387893.5416,1431001.508,1108.1203
BSSO04,387237.6535,1429173.374,1107.5486,NA,NA,NA,NA,0,387237.6535,1429173.374,1107.5486
BSSO05,386853.5816,1428925.049,1139.9601,NA,NA,NA,NA,0,386853.5816,1428925.049,1139.9601
BSSO06,386180.99,1427316.603,1088.7732,NA,NA,NA,NA,0,386180.99,1427316.603,1088.7732
BSSO07,395811.2245,1425840.458,989.3579,NA,NA,NA,NA,0,395811.2245,1425840.458,989.3579
BSSO08,394006.3302,1418284.378,999.393,NA,NA,NA,NA,0,394006.3302,1418284.378,999.393
BSSO10,396931.7685,1419323.692,984.8454,NA,NA,NA,NA,0,396931.7685,1419323.692,984.8454
BSSO11,394032.0936,1428661.842,1030.2609,NA,NA,NA,NA,0,394032.0936,1428661.842,1030.2609
BSSO12,395693.2922,1428724.754,953.1759,NA,NA,NA,NA,0,395693.2922,1428724.754,953.1759
BSSO13,395285.8097,1428932.973,968.3158,NA,NA,NA,NA,0,395285.8097,1428932.973,968.3158
BSSO14,394468.6286,1428275.25,1015.6079,NA,NA,NA,NA,0,394468.6286,1428275.25,1015.6079
BSSO15,393775.2066,1427839.344,1023.4094,NA,NA,NA,NA,0,393775.2066,1427839.344,1023.4094
BSSO16,394465.7778,1427663.935,1018.5687,NA,NA,NA,NA,0,394465.7778,1427663.935,1018.5687
BSSO17,394839.6234,1427082.659,974.728,NA,NA,NA,NA,0,394839.6234,1427082.659,974.728
BSSO18,394343.0344,1426246.333,969.3777,NA,NA,NA,NA,0,394343.0344,1426246.333,969.3777
BSSO19,395528.8618,1426438.852,973.4587,NA,NA,NA,NA,0,395528.8618,1426438.852,973.4587
BSSO20,395754.6604,1426153.781,986.5967,NA,NA,NA,NA,0,395754.6604,1426153.781,986.5967
BSSO21,397426.9716,1426288.037,987.4285,NA,NA,NA,NA,0,397426.9716,1426288.037,987.4285
BSSO22,396730.729,1425686.35,976.9142,NA,NA,NA,NA,0,396730.729,1425686.35,976.9142
BSSO23,399070.563,1424266.409,1010.654,NA,NA,NA,NA,0,399070.563,1424266.409,1010.654
BSSO24,394019.4431,1419149.892,1020.1182,NA,NA,NA,NA,0,394019.4431,1419149.892,1020.1182
BSSO25,394990.0363,1418650.647,991.6946,NA,NA,NA,NA,0,394990.0363,1418650.647,991.6946
BSSO26,398313.592,1421829.315,967.2901,NA,NA,NA,NA,0,398313.592,1421829.315,967.2901
BSSO27,394905.9208,1420097.966,1024.0453,NA,NA,NA,NA,0,394905.9208,1420097.966,1024.0453
BSSO28,397383.2503,1418590.086,963.4952,NA,NA,NA,NA,0,397383.2503,1418590.086,963.4952
C5MW01,393984.79,1419943.95,1020.25,1019.33,20,30,30,0,393984.79,1419943.95,1020.25
C5MW02,394484.03,1421070.69,992.49,992.36,19,28.5,28.5,0,394484.03,1421070.69,992.49
C5MW03,394558.86,1421193.43,990.14,992.84,19.13,29.13,29.13,0,394558.86,1421193.43,990.14
C5MW04,394674.67,1421237.93,975.55,978.18,9,19,19,0,394674.67,1421237.93,975.55
C5MW05,394694.91,1421239.89,976.43,978.52,45,141,141,0,394694.91,1421239.89,976.43
C5MW06,394477.12,1421065.05,992.52,992.23,36,130,130,0,394477.12,1421065.05,992.52
C5MW07,394699.32,1420190.62,1026.31,1026.04,68,162,162,0,394699.32,1420190.62,1026.31
C5MW08,393994.86,1419943.43,1019.95,1019.63,67,161,161,0,393994.86,1419943.43,1019.95
C5MW09,394542.13,1420918.6,993.28,995.58,5,20,20,0,394542.13,1420918.6,993.28
C5MW10,394622.08,1420984.79,993.39,995.87,17,32,32,0,394622.08,1420984.79,993.39
C5MW11,394584.06,1421077.79,992.69,994.81,17,32,32,0,394584.06,1421077.79,992.69
C5MW12,394351.14,1421111.62,1006.89,1009.1,21,36,36,0,394351.14,1421111.62,1006.89
C5MW13,394476.54,1421250.42,1001.62,1001.35,23,38,38,0,394476.54,1421250.42,1001.62
C5MW14,394609.78,1421323.2,978.19,980.45,5,20,20,0,394609.78,1421323.2,978.19
C5MW15,394691.85,1421158.3,981.76,984.16,5,20,20,0,394691.85,1421158.3,981.76
C5MW16,393911.55,1421014.42,1008.87,1008.55,14,29,29,0,393911.55,1421014.42,1008.87
C5MW17,394539.44,1421015.01,993.05,992.84,13,28,28,0,394539.44,1421015.01,993.05
C5MW18,394532.66,1421057.32,992.83,992.59,14,29,29,0,394532.66,1421057.32,992.83
C5MW19,394520.15,1421131.68,992.18,994.41,13,28,28,0,394520.15,1421131.68,992.18
C5RW-1,394306.62,1420859.21,1015.53,1017.82,NA,NA,NA,0,394306.62,1420859.21,1015.53
D1-12,397698.51,1419811.03,984.8,NA,NA,NA,NA,0,397698.51,1419811.03,984.8
D1-13,397866.71,1419246.41,973.1,NA,NA,NA,NA,0,397866.71,1419246.41,973.1
D1-14,397943.71,1418781.52,952.4,NA,NA,NA,NA,0,397943.71,1418781.52,952.4
D1-15,398287.69,1419056.99,949.9,NA,NA,NA,NA,0,398287.69,1419056.99,949.9
D1-20,397904.53,1418690.41,951.9,NA,NA,NA,NA,0,397904.53,1418690.41,951.9
D1-21,398178.45,1418893.46,950.18,NA,NA,NA,NA,0,398178.45,1418893.46,950.18
D2-22,395654.48,1422421.81,979.78,NA,NA,NA,NA,0,395654.48,1422421.81,979.78
D2-23,395340.43,1422519.57,974.47,NA,NA,NA,NA,0,395340.43,1422519.57,974.47
D2-6,395667.25,1422852.35,999.8,NA,NA,NA,NA,0,395667.25,1422852.35,999.8
D2-7,395649.15,1422562.01,986.1,NA,NA,NA,NA,0,395649.15,1422562.01,986.1
D2-8,395464.62,1422487.26,982.2,NA,NA,NA,NA,0,395464.62,1422487.26,982.2
D3-24,392577.2909,1425895.276,982.88,1053.52,8,18,18,0,392577.2909,1425895.276,982.88
D3-3,392339.5,1425685,1011.9,NA,NA,NA,NA,0,392339.5,1425685,1011.9
D3-32,392502.6,1425731,978.03,NA,NA,NA,NA,0,392502.6,1425731,978.03
D3-33,392262.6,1425659,1016.44,NA,NA,NA,NA,0,392262.6,1425659,1016.44
D3-4,392236.8,1425712,1014.7,NA,NA,NA,NA,0,392236.8,1425712,1014.7
D3-5,391979.8,1425353,1028.6,NA,NA,NA,NA,0,391979.8,1425353,1028.6
D4-1,391976.18,1426157.71,1026.1,1028.77,6.5,31.5,31.5,0,391976.18,1426157.71,1026.1
D4-2,392419.9,1425957,997.3,999.59,10,30,30,0,392419.9,1425957,997.3
D5-10,390388.52,1427076.57,1059.15,1062.1,9.5,29.5,29.5,0,390388.52,1427076.57,1059.15
D5-11,390576.62,1427075.62,1063.3,1065.51,11,36,36,0,390576.62,1427075.62,1063.3
D5-26,390495.33,1427185.19,1052.68,1053.95,8,18,18,0,390495.33,1427185.19,1052.68
D5-34,390414.37,1427179.98,1053.7,1055.68,4,14,14,0,390414.37,1427179.98,1053.7
D5-35,390696.92,1427107.03,1059.12,1061.35,17,27,27,0,390696.92,1427107.03,1059.12
D5-36,390776.25,1427016.03,1061.5,1061.92,11,21,21,0,390776.25,1427016.03,1061.5
D5-37,390890.48,1426919.05,1053.49,1055.96,20,30,30,0,390890.48,1426919.05,1053.49
D5-48,390210.4,1426771,1072.48,1074.93,15,30,30,0,390210.4,1426771,1072.48
D5-49,390915.7,1427094,1041.2,1043.83,3,12,12,0,390915.7,1427094,1041.2
D5-50,390758.48,1427370.5,1049.58,1052.83,7,18,18,0,390758.48,1427370.5,1049.58
D5-51,390411.1,1426970,1071.6,NA,NA,NA,NA,0,390411.1,1426970,1071.6
D5-9,390448.73,1426727.32,1078.83,1081.45,29.5,49.5,49.5,0,390448.73,1426727.32,1078.83
D6-16,391460.88,1426774.31,1044.1,1047.63,24,44,44,0,391460.88,1426774.31,1044.1
D6-27,391576.7,1426763,1025.64,1027.93,12,22,22,0,391576.7,1426763,1025.64
D6-28,391560.9,1426639,1033.82,1035.15,25,35,35,0,391560.9,1426639,1033.82
D6-30,391144.74,1426482.65,1050.21,1052.62,24,34,34,0,391144.74,1426482.65,1050.21
D6-38,391585.29,1426856.78,1014.1,1015.52,5.5,15.5,15.5,0,391585.29,1426856.78,1014.1
D6-39,391582.48,1426861.63,1014.2,1015.85,13.5,23.5,23.5,0,391582.48,1426861.63,1014.2
D6-40,391653.21,1426489.32,1018.79,1020.98,5,20,20,0,391653.21,1426489.32,1018.79
DPT500,388769.82,1430867.27,1100.89,NA,NA,NA,NA,0,388769.82,1430867.27,1100.89
DPT501,388301.57,1431897.85,1094,NA,NA,NA,NA,0,388301.57,1431897.85,1094
DPT502,389133.22,1427850.33,1109.5,NA,NA,NA,NA,0,389133.22,1427850.33,1109.5
DPT503,388043.84,1431129.19,1094,NA,NA,NA,NA,0,388043.84,1431129.19,1094
DPT504,386930.34,1431792.08,1079.79,NA,NA,NA,NA,0,386930.34,1431792.08,1079.79
DPT505,386594.55,1431023.97,1100.51,NA,NA,NA,NA,0,386594.55,1431023.97,1100.51
DPT506,386649.51,1430336.3,1100.51,NA,NA,NA,NA,0,386649.51,1430336.3,1100.51
DPT507,388453.15,1427425.03,1105.15,NA,NA,NA,NA,0,388453.15,1427425.03,1105.15
DPT508,387407.73,1430146.54,1111.02,NA,NA,NA,NA,0,387407.73,1430146.54,1111.02
DPT509,387852.12,1430379.69,1108.21,NA,NA,NA,NA,0,387852.12,1430379.69,1108.21
DPT510,389418.01,1428424.45,1103.56,NA,NA,NA,NA,0,389418.01,1428424.45,1103.56
DPT511,389105.3,1428479.73,1103.56,NA,NA,NA,NA,0,389105.3,1428479.73,1103.56
DPT512,388108.88,1427141.85,1077.49,NA,NA,NA,NA,0,388108.88,1427141.85,1077.49
DPT513,388247.42,1430043.76,1108.21,NA,NA,NA,NA,0,388247.42,1430043.76,1108.21
DPT514,388981.11,1429813.64,1108.21,NA,NA,NA,NA,0,388981.11,1429813.64,1108.21
DPT515,389435.71,1429623.64,1108.21,NA,NA,NA,NA,0,389435.71,1429623.64,1108.21
DPT516,389684.29,1429704.2,1108.21,NA,NA,NA,NA,0,389684.29,1429704.2,1108.21
DPT517,389640.45,1429284.57,1110.39,NA,NA,NA,NA,0,389640.45,1429284.57,1110.39
DPW-1,389920.93,1429639.01,1109.37,1108.74,14,114,114,0,389920.93,1429639.01,1109.37
DPW-2,389880.03,1429699.26,1107.17,1106.56,10,180,180,0,389880.03,1429699.26,1107.17
DPW-3,389978.84,1429670.75,1109.47,1108.86,10,155,155,0,389978.84,1429670.75,1109.47
DW-1,394722.33,1421249.03,977.26,NA,NA,NA,NA,0,394722.33,1421249.03,977.26
G12-1,394642,1421294,991.45,973.34,4,24,24,0,394642,1421294,991.45
G12-2,393789,1422017,992.97,1008.88,15.5,35.5,35.5,0,393789,1422017,992.97
G12-3,393739,1421760,1061.82,993.45,5.5,20.5,20.5,0,393739,1421760,1061.82
G12-4,393770,1421873,1038.54,995.47,6,26,26,0,393770,1421873,1038.54
ITD1,389234.23,1427520.43,1098.74,1100.52,62,85,85,0,389234.23,1427520.43,1098.74
ITD2,390053.33,1427270.95,1087.04,1088.12,110,125,125,0,390053.33,1427270.95,1087.04
ITD3,389856.3904,1426870.067,1075.53785,1077.27,NA,NA,NA,0,389856.3904,1426870.067,1075.53785
ITD4,389418.67,1427247.8,1091.63,1093.09,NA,NA,NA,0,389418.67,1427247.8,1091.63
ITD5,389794.39,1427246.93,1079.99,1082.94,102,117,117,0,389794.39,1427246.93,1079.99
ITD6,389880.42,1427387.01,1089.09,1089.41,NA,NA,NA,0,389880.42,1427387.01,1089.09
ITD7,389865.85,1427483.45,1089.87,1091.8,135,150,150,0,389865.85,1427483.45,1089.87
ITD8,389104.8,1427536.4,1100.1,1101.53,NA,NA,NA,0,389104.8,1427536.4,1100.1
ITS1,389775.16,1427572.72,1083.43,1085.17,10.47,30.47,30.47,0,389775.16,1427572.72,1083.43
ITS10,389770.65,1427800.46,1102.44,1105.32,35.3,60.3,60.3,0,389770.65,1427800.46,1102.44
ITS11,389261.15,1427265.76,1094.61,1097.12,21.7,41.7,41.7,0,389261.15,1427265.76,1094.61
ITS2,390112.42,1427579.73,1074.24,1075.93,6,26,26,0,390112.42,1427579.73,1074.24
ITS3,390049.29,1427293.58,1087.37,1089.23,24,39,39,0,390049.29,1427293.58,1087.37
ITS4,389499.23,1427381.25,1079.46,1081.52,8.5,38.5,38.5,0,389499.23,1427381.25,1079.46
ITS5,389468.5403,1426715.736,1074.28045,1076.85,11.4,26.4,26.4,0,389468.5403,1426715.736,1074.28045
ITS6,389970.4317,1426726.305,1076.18844,1078.12,19,39,39,0,389970.4317,1426726.305,1076.18844
ITS7,390200.26,1426950.41,1066.22,1068.89,13,33,33,0,390200.26,1426950.41,1066.22
ITS8,390358.11,1427060.23,1074.28045,1063.09,5.4,20.4,20.4,0,390358.11,1427060.23,1074.28045
ITS9,390460.45,1427309.68,1056.47,1058.59,10,40,40,0,390460.45,1427309.68,1056.47
L11 MW-11,392355.77,1420830.04,1016.78,NA,NA,NA,NA,0,392355.77,1420830.04,1016.78
L11 MW-12,392016.78,1420763.43,1018.01,NA,NA,NA,NA,0,392016.78,1420763.43,1018.01
L11 MW-13,391861.34,1421160.94,1019.45,NA,NA,NA,NA,0,391861.34,1421160.94,1019.45
L11 MW-14,392102.21,1421234.16,1018.43,NA,NA,NA,NA,0,392102.21,1421234.16,1018.43
L11 MW-15,392309.34,1421115.18,1016.83,NA,NA,NA,NA,0,392309.34,1421115.18,1016.83
L45 MW-1,392113.27,1420322.15,1021.95,NA,NA,NA,NA,0,392113.27,1420322.15,1021.95
L45 MW-2,392349.71,1420556.69,1022.72,NA,NA,NA,NA,0,392349.71,1420556.69,1022.72
L45 MW-3,392808.48,1420543.11,1022.79,NA,NA,NA,NA,0,392808.48,1420543.11,1022.79
L45 MW-4,392871.2,1420373,1022.2,NA,NA,NA,NA,0,392871.2,1420373,1022.2
L45 MW-6,392378.03,1420233.34,1021.88,NA,NA,NA,NA,0,392378.03,1420233.34,1021.88
L6 MW-10,391996.39,1421780.89,1024.1,NA,NA,NA,NA,0,391996.39,1421780.89,1024.1
L6 MW-7,391924.18,1422038.66,1026.83,NA,NA,NA,NA,0,391924.18,1422038.66,1026.83
L6 MW-8,391560.3,1421880.91,1024.35,NA,NA,NA,NA,0,391560.3,1421880.91,1024.35
L6 MW-9,391778.32,1421780.46,1026.57,NA,NA,NA,NA,0,391778.32,1421780.46,1026.57
L65 MW-16,393074.81,1419089.84,1041.54,NA,NA,NA,NA,0,393074.81,1419089.84,1041.54
L65 MW-17,392994.54,1418851.33,1052.53,NA,NA,NA,NA,0,392994.54,1418851.33,1052.53
MP1-2-D,389919.388,1429702.443,1106.61,NA,NA,NA,NA,0,389919.388,1429702.443,1106.61
MP1-2-I,389914.956,1429699.21,1106.61,NA,NA,NA,NA,0,389914.956,1429699.21,1106.61
MP1-2-S,389914.151,1429697.54,1106.61,NA,NA,NA,NA,0,389914.151,1429697.54,1106.61
MW-03-201A,388623.017,1432402.087,1040.98,NA,NA,NA,NA,0,388623.017,1432402.087,1040.98
MW-03-201B,388603.907,1432413.389,1040.36,NA,NA,NA,NA,0,388603.907,1432413.389,1040.36
MW-03-202A,390362.803,1432200.601,1064.02,1063.72,190.15,200.15,200.15,0,390362.803,1432200.601,1064.02
MW-03-202B,390363.627,1432185.85,1064.05,1063.71,67.6,87.6,87.6,0,390363.627,1432185.85,1064.05
MW-03-203A,392065.631,1432473.829,1057.4,NA,NA,NA,NA,0,392065.631,1432473.829,1057.4
MW-03-203B,392081.999,1432473.241,1058.74,1058.62,78.66,88.66,88.66,0,392081.999,1432473.241,1058.74
MW-03-204A,394294.575,1432266.855,1040.88,NA,NA,NA,NA,0,394294.575,1432266.855,1040.88
MW-03-204B,394306.94,1432268.12,1041.5,1044.49,524.3,534.3,534.3,0,394306.94,1432268.12,1041.5
MW-03-205A,393138.079,1431144.002,1004.86,1007.68,94.7,104.7,104.7,0,393138.079,1431144.002,1004.86
MW-03-205B,393126.48,1431134.955,1003.94,1007.56,20.49,30.49,30.49,0,393126.48,1431134.955,1003.94
MW-03-206A,394833.275,1430744.973,1047.41,NA,NA,NA,NA,0,394833.275,1430744.973,1047.41
MW-03-206B,394836.67,1430744.334,1047.41,1047.19,129.9,139.9,139.9,0,394836.67,1430744.334,1047.41
MW-03-206C,394836.466,1430722.427,1047.22,NA,NA,NA,NA,0,394836.466,1430722.427,1047.22
MW-03-207A,392953.647,1428604.198,1054.89,NA,NA,NA,NA,0,392953.647,1428604.198,1054.89
MW-03-207B,392952.751,1428604.375,1054.89,NA,NA,NA,NA,0,392952.751,1428604.375,1054.89
MW-03-207C,392949.391,1428585.744,1053.53,NA,NA,NA,NA,0,392949.391,1428585.744,1053.53
MW-03-208A,393928.564,1429173.506,1041.46,1041.18,264.9,274.9,274.9,0,393928.564,1429173.506,1041.46
MW-03-208B,393926.69,1429168.596,1041.46,1041.18,155.3,165.3,165.3,0,393926.69,1429168.596,1041.46
MW-03-208C,393931.026,1429151.395,1042.51,1042.14,54,64,64,0,393931.026,1429151.395,1042.51
MW-03-209A,394845.406,1429558.509,959.17,NA,NA,NA,NA,0,394845.406,1429558.509,959.17
MW-03-209B,394789.79,1429638.638,956.01,960.85,33.98,43.98,43.98,0,394789.79,1429638.638,956.01
MW-03-209C,394836.503,1429567.981,958.82,958.44,7,12,12,0,394836.503,1429567.981,958.82
MW-03-210A,394334.71,1427776.822,1019.16,NA,NA,NA,NA,0,394334.71,1427776.822,1019.16
MW-03-210B,394319.652,1427778.326,1018.88,NA,NA,NA,NA,0,394319.652,1427778.326,1018.88
MW-03-211A,396435.673,1427812.742,959.73,NA,NA,NA,NA,0,396435.673,1427812.742,959.73
