Well Identification,Lithology,value,to
MWG4,"Top of Rock 
 (ft bgs)","NA",NA
MWG4,"Bottom Screen
 (ft bgs)",76.8,NA
MWG4,Measured Well Depth,81.7,NA
MWG5,"Fill 
(ft bgs)",0,NA
MWG5,"Residual Soil
 (ft bgs)","NA",NA
MWG5,Saprolite (ft bgs),19,NA
MWG5,"PWR
 (ft bgs)",66.2,NA
MWG5,"Top of Rock 
 (ft bgs)",77.5,NA
MWG5,"Bottom Screen
 (ft bgs)",80.7,NA
MWG5,Measured Well Depth,NA,NA
MWG5-5R,"Fill 
(ft bgs)",0,NA
MWG5-5R,"Residual Soil
 (ft bgs)","NA",NA
MWG5-5R,Saprolite (ft bgs),8.6,NA
MWG5-5R,"PWR
 (ft bgs)",83,NA
MWG5-5R,"Top of Rock 
 (ft bgs)","NA",NA
MWG5-5R,"Bottom Screen
 (ft bgs)",82.9,NA
MWG5-5R,Measured Well Depth,87,NA
MWG5-6,"Fill 
(ft bgs)",0,NA
MWG5-6,"Residual Soil
 (ft bgs)","NA",NA
MWG5-6,Saprolite (ft bgs),"NA",NA
MWG5-6,"PWR
 (ft bgs)","NA",NA
MWG5-6,"Top of Rock 
 (ft bgs)","NA",NA
MWG5-6,"Bottom Screen
 (ft bgs)",36.5,NA
MWG5-6,Measured Well Depth,39.56,NA
MWG6,"Fill 
(ft bgs)",0,NA
MWG6,"Residual Soil
 (ft bgs)","NA",NA
MWG6,Saprolite (ft bgs),37,NA
MWG6,"PWR
 (ft bgs)",64,NA
MWG6,"Top of Rock 
 (ft bgs)","NA",NA
MWG6,"Bottom Screen
 (ft bgs)",59.5,NA
MWG6,Measured Well Depth,61.28,NA
MWG7,"Fill 
(ft bgs)","NA",NA
MWG7,"Residual Soil
 (ft bgs)",0,NA
MWG7,Saprolite (ft bgs),19,NA
MWG7,"PWR
 (ft bgs)",27.8,NA
MWG7,"Top of Rock 
 (ft bgs)",40,NA
MWG7,"Bottom Screen
 (ft bgs)",51.5,NA
MWG7,Measured Well Depth,53.98,NA
MWOS-03,"Fill 
(ft bgs)","NA",NA
MWOS-03,"Residual Soil
 (ft bgs)",0,NA
MWOS-03,Saprolite (ft bgs),"NA",NA
MWOS-03,"PWR
 (ft bgs)","NA",NA
MWOS-03,"Top of Rock 
 (ft bgs)","NA",NA
MWOS-03,"Bottom Screen
 (ft bgs)",21,NA
MWOS-03,Measured Well Depth,24.45,NA
MWOS-04,"Fill 
(ft bgs)","NA",NA
MWOS-04,"Residual Soil
 (ft bgs)",0,NA
MWOS-04,Saprolite (ft bgs),"NA",NA
MWOS-04,"PWR
 (ft bgs)",18,NA
MWOS-04,"Top of Rock 
 (ft bgs)","NA",NA
MWOS-04,"Bottom Screen
 (ft bgs)",23,NA
MWOS-04,Measured Well Depth,25.59,NA
MWOS-09,"Fill 
(ft bgs)","NA",NA
MWOS-09,"Residual Soil
 (ft bgs)",0,NA
MWOS-09,Saprolite (ft bgs),"NA",NA
MWOS-09,"PWR
 (ft bgs)",57,NA
MWOS-09,"Top of Rock 
 (ft bgs)","NA",NA
MWOS-09,"Bottom Screen
 (ft bgs)",61.5,NA
MWOS-09,Measured Well Depth,63.83,NA
MWOS-11,"Fill 
(ft bgs)","NA",NA
MWOS-11,"Residual Soil
 (ft bgs)",0,NA
MWOS-11,Saprolite (ft bgs),"NA",NA
MWOS-11,"PWR
 (ft bgs)","NA",NA
MWOS-11,"Top of Rock 
 (ft bgs)","NA",NA
MWOS-11,"Bottom Screen
 (ft bgs)",45,NA
MWOS-11,Measured Well Depth,47.68,NA
MW-W1,"Fill 
(ft bgs)",0,NA
MW-W1,"Residual Soil
 (ft bgs)","NA",NA
MW-W1,Saprolite (ft bgs),7,NA
MW-W1,"PWR
 (ft bgs)","NA",NA
MW-W1,"Top of Rock 
 (ft bgs)","NA",NA
MW-W1,"Bottom Screen
 (ft bgs)",40,NA
MW-W1,Measured Well Depth,38.66,NA
MW-W1R,"Fill 
(ft bgs)",0,NA
MW-W1R,"Residual Soil
 (ft bgs)",ND,NA
MW-W1R,Saprolite (ft bgs),ND,NA
MW-W1R,"PWR
 (ft bgs)",ND,NA
MW-W1R,"Top of Rock 
 (ft bgs)",ND,NA
MW-W1R,"Bottom Screen
 (ft bgs)",40,NA
MW-W1R,Measured Well Depth,40,NA
MW-W2,"Fill 
(ft bgs)",ND,NA
MW-W2,"Residual Soil
 (ft bgs)",ND,NA
MW-W2,Saprolite (ft bgs),ND,NA
MW-W2,"PWR
 (ft bgs)",ND,NA
MW-W2,"Top of Rock 
 (ft bgs)",63,NA
MW-W2,"Bottom Screen
 (ft bgs)",190,NA
MW-W2,Measured Well Depth,NA,NA
MW-W3,"Fill 
(ft bgs)",ND,NA
MW-W3,"Residual Soil
 (ft bgs)",ND,NA
MW-W3,Saprolite (ft bgs),ND,NA
MW-W3,"PWR
 (ft bgs)",ND,NA
MW-W3,"Top of Rock 
 (ft bgs)",10,NA
MW-W3,"Bottom Screen
 (ft bgs)",186,NA
MW-W3,Measured Well Depth,186.59,NA
MW-W4,"Fill 
(ft bgs)",0,NA
MW-W4,"Residual Soil
 (ft bgs)","NA",NA
MW-W4,Saprolite (ft bgs),"NA",NA
MW-W4,"PWR
 (ft bgs)","NA",NA
MW-W4,"Top of Rock 
 (ft bgs)",38,NA
MW-W4,"Bottom Screen
 (ft bgs)",70,NA
MW-W4,Measured Well Depth,69.62,NA
MW-W5,"Fill 
(ft bgs)","NA",NA
MW-W5,"Residual Soil
 (ft bgs)","NA",NA
MW-W5,Saprolite (ft bgs),0,NA
MW-W5,"PWR
 (ft bgs)",12,NA
MW-W5,"Top of Rock 
 (ft bgs)",20,NA
MW-W5,"Bottom Screen
 (ft bgs)",200,NA
MW-W5,Measured Well Depth,NA,NA
MW-W6,"Fill 
(ft bgs)",0,NA
MW-W6,"Residual Soil
 (ft bgs)","NA",NA
MW-W6,Saprolite (ft bgs),4,NA
MW-W6,"PWR
 (ft bgs)","NA",NA
MW-W6,"Top of Rock 
 (ft bgs)",25,NA
MW-W6,"Bottom Screen
 (ft bgs)",87,NA
MW-W6,Measured Well Depth,86.7,NA
MW-W7,"Fill 
(ft bgs)","NA",NA
MW-W7,"Residual Soil
 (ft bgs)","NA",NA
MW-W7,Saprolite (ft bgs),0,NA
MW-W7,"PWR
 (ft bgs)",5,NA
MW-W7,"Top of Rock 
 (ft bgs)",15.5,NA
MW-W7,"Bottom Screen
 (ft bgs)",51,NA
MW-W7,Measured Well Depth,49.81,NA
OB201A,"Fill 
(ft bgs)","NA",NA
OB201A,"Residual Soil
 (ft bgs)",0,NA
OB201A,Saprolite (ft bgs),10,NA
OB201A,"PWR
 (ft bgs)","NA",NA
OB201A,"Top of Rock 
 (ft bgs)","NA",NA
OB201A,"Bottom Screen
 (ft bgs)",21.4,NA
OB201A,Measured Well Depth,NA,NA
OB202C,"Fill 
(ft bgs)",0,NA
OB202C,"Residual Soil
 (ft bgs)",29,NA
OB202C,Saprolite (ft bgs),36,NA
OB202C,"PWR
 (ft bgs)",105.4,NA
OB202C,"Top of Rock 
 (ft bgs)",ND,NA
OB202C,"Bottom Screen
 (ft bgs)",34.5,NA
OB202C,Measured Well Depth,NA,NA
OB203C,"Fill 
(ft bgs)","NA",NA
OB203C,"Residual Soil
 (ft bgs)",0,NA
OB203C,Saprolite (ft bgs),"NA",NA
OB203C,"PWR
 (ft bgs)","NA",NA
OB203C,"Top of Rock 
 (ft bgs)","NA",NA
OB203C,"Bottom Screen
 (ft bgs)",29.2,NA
OB203C,Measured Well Depth,29.95,NA
OB203CR,"Fill 
(ft bgs)","NA",NA
OB203CR,"Residual Soil
 (ft bgs)",0,NA
OB203CR,Saprolite (ft bgs),"NA",NA
OB203CR,"PWR
 (ft bgs)","NA",NA
OB203CR,"Top of Rock 
 (ft bgs)","NA",NA
OB203CR,"Bottom Screen
 (ft bgs)",30,NA
OB203CR,Measured Well Depth,30,NA
OB208A,"Fill 
(ft bgs)","NA",NA
OB208A,"Residual Soil
 (ft bgs)",0,NA
OB208A,Saprolite (ft bgs),8,NA
OB208A,"PWR
 (ft bgs)",45.4,NA
OB208A,"Top of Rock 
 (ft bgs)",49.5,NA
OB208A,"Bottom Screen
 (ft bgs)",160,NA
OB208A,Measured Well Depth,NA,NA
OB208B,"Fill 
(ft bgs)",0,NA
OB208B,"Residual Soil
 (ft bgs)","NA",NA
OB208B,Saprolite (ft bgs),"NA",NA
OB208B,"PWR
 (ft bgs)",37.7,NA
OB208B,"Top of Rock 
 (ft bgs)",46,NA
OB208B,"Bottom Screen
 (ft bgs)",147.5,NA
OB208B,Measured Well Depth,156,NA
OW1A,"Fill 
(ft bgs)","NA",NA
OW1A,"Residual Soil
 (ft bgs)",0,NA
OW1A,Saprolite (ft bgs),40,NA
OW1A,"PWR
 (ft bgs)","NA",NA
OW1A,"Top of Rock 
 (ft bgs)","NA",NA
OW1A,"Bottom Screen
 (ft bgs)",58,NA
OW1A,Measured Well Depth,58.8,NA
PMW7,"Fill 
(ft bgs)",0,NA
PMW7,"Residual Soil
 (ft bgs)",1,NA
PMW7,Saprolite (ft bgs),43,NA
PMW7,"PWR
 (ft bgs)",102,NA
PMW7,"Top of Rock 
 (ft bgs)",108,NA
PMW7,"Bottom Screen
 (ft bgs)",102.5,NA
PMW7,Measured Well Depth,98.24,NA
PZ03,"Fill 
(ft bgs)","NA",NA
PZ03,"Residual Soil
 (ft bgs)",0,NA
PZ03,Saprolite (ft bgs),"NA",NA
PZ03,"PWR
 (ft bgs)","NA",NA
PZ03,"Top of Rock 
 (ft bgs)","NA",NA
PZ03,"Bottom Screen
 (ft bgs)",13,NA
PZ03,Measured Well Depth,16.44,NA
RW208,"Fill 
(ft bgs)","NA",NA
RW208,"Residual Soil
 (ft bgs)",0,NA
RW208,Saprolite (ft bgs),12.5,NA
RW208,"PWR
 (ft bgs)",52.4,NA
RW208,"Top of Rock 
 (ft bgs)",53.5,NA
RW208,"Bottom Screen
 (ft bgs)",152,NA
RW208,Measured Well Depth,NA,NA
SCT3,"Fill 
(ft bgs)",ND,NA
SCT3,"Residual Soil
 (ft bgs)",ND,NA
SCT3,Saprolite (ft bgs),ND,NA
SCT3,"PWR
 (ft bgs)",65,NA
SCT3,"Top of Rock 
 (ft bgs)",95,NA
SCT3,"Bottom Screen
 (ft bgs)",95,NA
SCT3,Measured Well Depth,97.74,NA
SCT5,"Fill 
(ft bgs)",0,NA
SCT5,"Residual Soil
 (ft bgs)","NA",NA
SCT5,Saprolite (ft bgs),8,NA
SCT5,"PWR
 (ft bgs)",57,NA
SCT5,"Top of Rock 
 (ft bgs)",77,NA
SCT5,"Bottom Screen
 (ft bgs)",77,NA
SCT5,Measured Well Depth,77.9,NA
VE1,"Fill 
(ft bgs)",ND,NA
VE1,"Residual Soil
 (ft bgs)",ND,NA
VE1,Saprolite (ft bgs),ND,NA
VE1,"PWR
 (ft bgs)",ND,NA
VE1,"Top of Rock 
 (ft bgs)",ND,NA
VE1,"Bottom Screen
 (ft bgs)",62,NA
VE1,Measured Well Depth,NA,NA
VE2,"Fill 
(ft bgs)",ND,NA
VE2,"Residual Soil
 (ft bgs)",ND,NA
VE2,Saprolite (ft bgs),ND,NA
VE2,"PWR
 (ft bgs)",ND,NA
VE2,"Top of Rock 
 (ft bgs)",ND,NA
VE2,"Bottom Screen
 (ft bgs)",60,NA
VE2,Measured Well Depth,NA,NA
VE3,"Fill 
(ft bgs)",ND,NA
VE3,"Residual Soil
 (ft bgs)",ND,NA
VE3,Saprolite (ft bgs),ND,NA
VE3,"PWR
 (ft bgs)",ND,NA
VE3,"Top of Rock 
 (ft bgs)",ND,NA
VE3,"Bottom Screen
 (ft bgs)",60,NA
VE3,Measured Well Depth,NA,NA
VE4,"Fill 
(ft bgs)",ND,NA
VE4,"Residual Soil
 (ft bgs)",ND,NA
VE4,Saprolite (ft bgs),ND,NA
VE4,"PWR
 (ft bgs)",ND,NA
VE4,"Top of Rock 
 (ft bgs)",ND,NA
VE4,"Bottom Screen
 (ft bgs)",60,NA
VE4,Measured Well Depth,NA,NA
VE5,"Fill 
(ft bgs)",ND,NA
VE5,"Residual Soil
 (ft bgs)",ND,NA
VE5,Saprolite (ft bgs),ND,NA
VE5,"PWR
 (ft bgs)",ND,NA
VE5,"Top of Rock 
 (ft bgs)",ND,NA
VE5,"Bottom Screen
 (ft bgs)",60,NA
VE5,Measured Well Depth,NA,NA
VE6,"Fill 
(ft bgs)",ND,NA
VE6,"Residual Soil
 (ft bgs)",ND,NA
VE6,Saprolite (ft bgs),ND,NA
VE6,"PWR
 (ft bgs)",ND,NA
VE6,"Top of Rock 
 (ft bgs)",ND,NA
VE6,"Bottom Screen
 (ft bgs)",43,NA
VE6,Measured Well Depth,NA,NA
VE7,"Fill 
(ft bgs)",ND,NA
VE7,"Residual Soil
 (ft bgs)",ND,NA
VE7,Saprolite (ft bgs),ND,NA
VE7,"PWR
 (ft bgs)",ND,NA
VE7,"Top of Rock 
 (ft bgs)",ND,NA
VE7,"Bottom Screen
 (ft bgs)",60,NA
VE7,Measured Well Depth,NA,NA
VE8,"Fill 
(ft bgs)",ND,NA
VE8,"Residual Soil
 (ft bgs)",ND,NA
VE8,Saprolite (ft bgs),ND,NA
VE8,"PWR
 (ft bgs)",ND,NA
VE8,"Top of Rock 
 (ft bgs)",ND,NA
VE8,"Bottom Screen
 (ft bgs)",60,NA
VE8,Measured Well Depth,NA,NA
VE9,"Fill 
(ft bgs)",ND,NA
VE9,"Residual Soil
 (ft bgs)",ND,NA
VE9,Saprolite (ft bgs),ND,NA
VE9,"PWR
 (ft bgs)",ND,NA
VE9,"Top of Rock 
 (ft bgs)",ND,NA
VE9,"Bottom Screen
 (ft bgs)",60,NA
VE9,Measured Well Depth,NA,NA
SWMU19MW-1A,"Fill 
(ft bgs)",ND,NA
SWMU19MW-1A,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-1A,Saprolite (ft bgs),88,NA
SWMU19MW-1A,"PWR
 (ft bgs)",120,NA
SWMU19MW-1A,"Top of Rock 
 (ft bgs)",150,NA
SWMU19MW-1A,"Bottom Screen
 (ft bgs)",144.35,NA
SWMU19MW-1A,Measured Well Depth,NA,NA
SWMU19MW-1B,"Fill 
(ft bgs)",ND,NA
SWMU19MW-1B,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-1B,Saprolite (ft bgs),88,NA
SWMU19MW-1B,"PWR
 (ft bgs)",120,NA
SWMU19MW-1B,"Top of Rock 
 (ft bgs)",150,NA
SWMU19MW-1B,"Bottom Screen
 (ft bgs)",94.45,NA
SWMU19MW-1B,Measured Well Depth,NA,NA
SWMU19MW-1C,"Fill 
(ft bgs)",ND,NA
SWMU19MW-1C,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-1C,Saprolite (ft bgs),88,NA
SWMU19MW-1C,"PWR
 (ft bgs)",120,NA
SWMU19MW-1C,"Top of Rock 
 (ft bgs)",150,NA
SWMU19MW-1C,"Bottom Screen
 (ft bgs)",54.46,NA
SWMU19MW-1C,Measured Well Depth,NA,NA
SWMU19MW-2A,"Fill 
(ft bgs)",ND,NA
SWMU19MW-2A,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-2A,Saprolite (ft bgs),32,NA
SWMU19MW-2A,"PWR
 (ft bgs)",69,NA
SWMU19MW-2A,"Top of Rock 
 (ft bgs)",120,NA
SWMU19MW-2A,"Bottom Screen
 (ft bgs)",113,NA
SWMU19MW-2A,Measured Well Depth,NA,NA
SWMU19MW-2B,"Fill 
(ft bgs)",ND,NA
SWMU19MW-2B,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-2B,Saprolite (ft bgs),32,NA
SWMU19MW-2B,"PWR
 (ft bgs)",69,NA
SWMU19MW-2B,"Top of Rock 
 (ft bgs)",120,NA
SWMU19MW-2B,"Bottom Screen
 (ft bgs)",85.43,NA
SWMU19MW-2B,Measured Well Depth,NA,NA
SWMU19MW-3A,"Fill 
(ft bgs)",ND,NA
SWMU19MW-3A,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-3A,Saprolite (ft bgs),39,NA
SWMU19MW-3A,"PWR
 (ft bgs)",71,NA
SWMU19MW-3A,"Top of Rock 
 (ft bgs)",127,NA
SWMU19MW-3A,"Bottom Screen
 (ft bgs)",118.05,NA
SWMU19MW-3A,Measured Well Depth,NA,NA
SWMU19MW-3B,"Fill 
(ft bgs)",ND,NA
SWMU19MW-3B,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-3B,Saprolite (ft bgs),39,NA
SWMU19MW-3B,"PWR
 (ft bgs)",71,NA
SWMU19MW-3B,"Top of Rock 
 (ft bgs)",127,NA
SWMU19MW-3B,"Bottom Screen
 (ft bgs)",90.77,NA
SWMU19MW-3B,Measured Well Depth,NA,NA
SWMU19MW-3C,"Fill 
(ft bgs)",ND,NA
SWMU19MW-3C,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-3C,Saprolite (ft bgs),39,NA
SWMU19MW-3C,"PWR
 (ft bgs)",71,NA
SWMU19MW-3C,"Top of Rock 
 (ft bgs)",127,NA
SWMU19MW-3C,"Bottom Screen
 (ft bgs)",51.02,NA
SWMU19MW-3C,Measured Well Depth,NA,NA
SWMU19MW-4A,"Fill 
(ft bgs)",ND,NA
SWMU19MW-4A,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-4A,Saprolite (ft bgs),40,NA
SWMU19MW-4A,"PWR
 (ft bgs)",93,NA
SWMU19MW-4A,"Top of Rock 
 (ft bgs)",120,NA
SWMU19MW-4A,"Bottom Screen
 (ft bgs)",114.67,NA
SWMU19MW-4A,Measured Well Depth,NA,NA
SWMU19MW-4B,"Fill 
(ft bgs)",ND,NA
SWMU19MW-4B,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-4B,Saprolite (ft bgs),40,NA
SWMU19MW-4B,"PWR
 (ft bgs)",93,NA
SWMU19MW-4B,"Top of Rock 
 (ft bgs)",120,NA
SWMU19MW-4B,"Bottom Screen
 (ft bgs)",83.73,NA
SWMU19MW-4B,Measured Well Depth,NA,NA
SWMU19MW-4C,"Fill 
(ft bgs)",ND,NA
SWMU19MW-4C,"Residual Soil
 (ft bgs)",0,NA
SWMU19MW-4C,Saprolite (ft bgs),40,NA
SWMU19MW-4C,"PWR
 (ft bgs)",93,NA
SWMU19MW-4C,"Top of Rock 
 (ft bgs)",120,NA
SWMU19MW-4C,"Bottom Screen
 (ft bgs)",48.91,NA
SWMU19MW-4C,Measured Well Depth,NA,NA
