LOCID,BEGDEPTH,ENDDEPTH,LOGDATE,ASTMCODE,HS_UNIT,VISDESC,USER_COMMENTS,lithcode
AFFHP001,0,0.2,2001-09-19T06:00:00Z,GM,NA,"GRAVEL, GRANITE.",NA,SILTY GRAVEL
AFFHP001,9,10,2001-09-19T06:00:00Z,NA,NA,"SILTY SAND: FINE TO COARSE QUARTZ SAND, TRACE GRAVEL, WET, COMPACT, OLIVE YELLOW.",NA,NA
AFFHP001,15,19.5,2001-09-19T06:00:00Z,NA,NA,"FILL: SILTY SAND, MOTTLED WITH CLAYEY SILT, STAINED IRON IN VERY WET ZONES, LIGHT OLIVE BROWN,  COMPACT; LESS CLAYEY SAND LAYERS, MORE PURE COARSE SAND (BROUGHT IN FILL); WET, LIGHT YELLOWISH BROWN.",NA,NA
AFFHP002,15,20,2001-09-19T06:00:00Z,CL,NA,"CLAY AND SAND: INTERBEDDED, CLAY HAS GRASS AND WOOD, SAND LAYERS COARSE TO FINE, SOME CLAY, WET, GRAYISH BROWN.",NA,CLAY
AFFHP002,0,0.2,2001-09-19T06:00:00Z,GM,NA,GRAVEL.,NA,SILTY GRAVEL
AFFHP002,0.2,10,2001-09-19T06:00:00Z,NA,NA,"FILL: CLAYEY SILT, RED, LARGE GRAINS OF MUSCOVITE AND FELDSPAR, STIFF, DRY, MOTTLED WITH BROWNISH YELLOW AND LIGHT GRAY.",NA,NA
AFFHP002,10,15,2001-09-19T06:00:00Z,NA,NA,"FILL: CLAYEY SILT, OLIVE BROWN, WOOD, LARGE GRAINS OF MUSCOVITE AND FELDSPAR, STIFF, MOIST.",NA,NA
AFFHP003,7,10,2001-09-19T06:00:00Z,ML,NA,"CLAYEY SILT, YELLOWISH BROWN, LARGE GRAINS OF QUARTZ, MUSCOVITE, SOFT.",NA,SILT
AFFHP003,16,20,2001-09-19T06:00:00Z,CL,NA,"CLAY: SILTY, WET, SOFT, SAPROLITE OF GRANITIC GNEISS, RELICT STRUCTURE VISIBLE, LARGE GRAINS OF QUARTZ, FELDSPAR.",NA,CLAY
AFFHP003,10,11,2001-09-19T06:00:00Z,ML,NA,"CLAYEY SILT, GRAY, LARGE GRAINS OF QUARTZ, MUSCOVITE, SOFT.",NA,SILT
AFFHP003,0.3,7,2001-09-19T06:00:00Z,NA,NA,"FILL: RED CLAYEY SILT, STIFF, DRY, LARGE GRAINS OF MUSCOVITE AND FELDSPAR.",NA,NA
AFFHP003,0,0.3,2001-09-19T06:00:00Z,GM,NA,GRAVEL,NA,SILTY GRAVEL
AFFHP003,11,16,2001-09-19T06:00:00Z,CL,NA,"CLAY: RED, SOFT, WET, SILTY (MUSCOVITE), ORANGIC MATTER.",NA,CLAY
AFFHP004,16.5,24.5,2001-09-20T06:00:00Z,NA,NA,"RELICT STRUCTURE FIRST VISIBLE - GRANITIC GNEISS, SATURATED.",NA,NA
AFFHP004,0,0.2,2001-09-20T06:00:00Z,GM,NA,GRAVEL.,NA,SILTY GRAVEL
AFFHP004,15,16.5,2001-09-20T06:00:00Z,NA,NA,"RELICT STRUCTURE FIRST VISIBLE - GRANITIC GNEISS, WET.",NA,NA
AFFHP004,5,9,2001-09-20T06:00:00Z,NA,NA,"FILL: BROWN, STIFF, DRY TO SLIGHTLY MOIST, CLAYEY SILT TO SILTY CLAY, LARGE GRAINS OF MUSCOVITE AND FELDSPAR.",NA,NA
AFFHP004,9,12.5,2001-09-20T06:00:00Z,CL,NA,"SILTY CLAY: VERY WEATHERED, SAPROLITE OF GRANITIC GNEISS, MOTTLED GRAY AND YELLOWISH BROWN, MOIST, STIFF.",NA,CLAY
AFFHP004,0.2,5,2001-09-20T06:00:00Z,NA,NA,"FILL: RED, DRY, CLAYEY SILT TO SILTY CLAY, LARGE GRAINS OF MUSCOVITE AND FELDSPAR, STIFF, GRADING TO BROWN AT 3' BGS.",NA,NA
AFFHP004,12.5,15,2001-09-20T06:00:00Z,NA,NA,RELICT STRUCTURE FIRST VISIBLE - GRANITIC GNEISS.,NA,NA
AFFHP005,11,13,2001-09-20T06:00:00Z,ML,NA,"CLAYEY SILT: RED TO BROWNISH YELLOW AND WHITE SAPROLITE OF GRANITIC GNEISS, SOME LAYERS STILL HARD, SOME HARD LAYERS (2), WET.",NA,SILT
AFFHP005,2,6.5,2001-09-20T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, VERY WEATHERED, RED WITH YELLOW FELDSPAR MOTTLED THROUGH IT.",NA,SILT
AFFHP005,6.5,11,2001-09-20T06:00:00Z,ML,NA,"CLAYEY SILT: RED TO BROWNISH YELLOW AND WHITE SAPROLITE OF GRANITIC GNEISS, SOME LAYERS STILL HARD, DAMP; RELICT STRUCTURE VISIBLE AT 9.5', SOME HARD LAYERS (2).",NA,SILT
AFFHP005,13,15,2001-09-20T06:00:00Z,NA,NA,"SAPROLITE: LOOSE RED COLOR, BECOMES BROWN AND LIGHT RED TO REDDISH YELLOW FELDSPAR.",NA,NA
AFFHP005,0,2,2001-09-20T06:00:00Z,NA,NA,FILL,NA,NA
AFFHP005,18,20,2001-09-20T06:00:00Z,NA,NA,"SAPROLITE: BROWN AND REDDISH YELLOW FELDSPAR TO BROWN AND PALE YELLOW, DAMP.",NA,NA
AFFHP005,15,18,2001-09-20T06:00:00Z,NA,NA,"SAPROLITE: BROWN AND REDDISH YELLOW FELDSPAR TO BROWN AND PALE YELLOW, SATURATED.",NA,NA
AFFHP006,5,6.2,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, BROWN AND LIGHT RED TO PALE YELLOW, WET, SOFT, RELICT STRUCTURE VISIBLE, SOME HARD LAYERS.",NA,SILTY SAND
AFFHP006,6.2,10,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, BROWN AND LIGHT RED TO PALE YELLOW, DAMP, STIFF, RELICT STRUCTURE VISIBLE, SOME HARD LAYERS.",NA,SILTY SAND
AFFHP006,10,15,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, BROWN AND LIGHT RED TO PALE YELLOW, DAMP, STIFF, RELICT STRUCTURE VISIBLE, SOME HARD LAYERS, COMPACT.",NA,SILTY SAND
AFFHP006,0,0.2,2001-09-20T06:00:00Z,GM,NA,GRAVEL.,NA,SILTY GRAVEL
AFFHP006,0.2,1.5,2001-09-20T06:00:00Z,NA,NA,"FILL: RED, CLAYEY SILT WITH LARGE GRAINS OF MUSCOVITE AND FELDSPAR, STIFF, DRY.",NA,NA
AFFHP006,1.5,5,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, BROWN AND LIGHT RED TO PALE YELLOW, MOIST, SOFT, RELICT STRUCTURE VISIBLE.",NA,SILTY SAND
AFFHP006,15,16.2,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, BROWN AND LIGHT RED TO PALE YELLOW, WET, SOFT, RELICT STRUCTURE VISIBLE, SOME HARD LAYERS.",NA,SILTY SAND
AFFHP006,16.2,19.5,2001-09-20T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS, BROWN AND LIGHT RED TO PALE YELLOW, DAMP, COMPACT, HARD, RELICT STRUCTURE VISIBLE.",NA,SILTY SAND
AFFHP007,5,7.5,2001-09-20T06:00:00Z,NA,NA,"DARK YELLOWISH BROWN, VERY WEATHERED SAPROLITE OF MUSCOVITE SCHIST, SOFT, WET, ROCK PIECES, SOME FELDSPAR IN PLACES.",NA,NA
AFFHP007,2.5,5,2001-09-20T06:00:00Z,NA,NA,"DARK YELLOWISH BROWN, VERY WEATHERED SAPROLITE OF MUSCOVITE SCHIST, SOFT, WET, ROCK PIECES.",NA,NA
AFFHP007,7.5,10,2001-09-20T06:00:00Z,NA,NA,"DARK YELLOWISH BROWN, VERY WEATHERED SAPROLITE OF MUSCOVITE SCHIST, SOFT, WET, ROCK PIECES, SOME FELDSPAR IN PLACES, RELICT STRUCTURE VISIBLE (FOLIATION).",NA,NA
