locs_complete$ECOORD,locs_complete$NCOORD,locs_complete@coords
389508.41,1427516.59,389527.50722222216
389514.39,1427514.95,389533.4872222222
389516.14,1427507.69,389535.2372222222
389512.84,1427502.53,389531.9372222222
389513.88,1427518.98,389532.9772222222
389517.47,1427504.42,389536.56722222216
389507.22,1427504.66,389526.31722222216
389503.84,1427516.24,389522.9372222222
389511.74,1427508.94,389530.8372222222
389531.41,1427512.44,389550.50722222216
389526.2,1427489.04,389545.2972222222
389495.42,1427527.3,389514.5172222222
389512.63,1427518.56,389531.7272222222
389525.68,1427525.33,389544.7772222222
389534.75,1427499.77,389553.8472222222
389519.44,1427486.38,389538.5372222222
389476.9,1427509.99,389495.9972222222
389490.18,1427526.51,389509.2772222222
0,0,-17976931348623157e292
389484.79,1427121.37,389503.88722222217
390228.57,1427428.46,390247.6672222222
390394.03,1427241.71,390413.1272222222
390411.17,1427262.7,390430.2672222222
392009.75,1426858.01,392028.8472222222
389770.69,1427891.27,389789.7872222222
389824.56,1427879.05,389843.6572222222
389854.25,1427824.69,389873.3472222222
389784.62,1427831.16,389803.7172222222
389758.61,1427814.81,389777.7072222222
389715.63,1427826.69,389734.7272222222
389409.14,1427617.12,389428.2372222222
389470.63,1427596.81,389489.7272222222
389538.72,1427579.06,389557.81722222216
389592.87,1427578.37,389611.9672222222
389660.29,1427569.88,389679.38722222217
389317.78,1427470.1,389336.8772222222
389293.83,1427395.86,389312.9272222222
389218.55,1427281.2,389237.6472222222
389269.41,1427267.6,389288.50722222216
389302.45,1427318.98,389321.5472222222
389321,1427246.31,389340.0972222222
389381.67,1427253.8,389400.7672222222
389456.38,1427234.17,389475.4772222222
389525.92,1427289.7,389545.0172222222
389515.54,1427331.84,389534.63722222217
389545.21,1427266.14,389564.3072222222
389340.33,1427547.52,389359.4272222222
389703.07,1427784.55,389722.1672222222
389810.12,1427787.68,389829.2172222222
389909.69,1427860.2,389928.7872222222
389856.65,1427905.44,389875.7472222222
389667.58,1428029.71,389686.6772222222
389896.93,1427791.98,389916.0272222222
389401.43,1427497.47,389420.5272222222
389353.98,1427413.33,389373.0772222222
390014.24,1430089.82,390033.3372222222
390076.9,1430082.55,390095.9972222222
390012.23,1430072.72,390031.3272222222
390038.35,1430069.98,390057.44722222217
390071.49,1430065.39,390090.5872222222
390083.48,1430063.22,390102.5772222222
390010.67,1430056.68,390029.7672222222
390014.25,1430040.48,390033.3472222222
390032.72,1430036.97,390051.81722222216
390071.5,1430033.33,390090.5972222222
390020.41,1430109.28,390039.50722222216
390052.31,1430106.06,390071.4072222222
390098.6,1430095.98,390117.69722222217
389962.33,1430138.54,389981.4272222222
390020.3,1430132.09,390039.3972222222
390054.54,1430132.01,390073.63722222217
390088.63,1430128.11,390107.7272222222
390109.9,1430123.05,390128.9972222222
390004.23,1430006.91,390023.3272222222
390044.7,1430002.9,390063.7972222222
390068.18,1429998.47,390087.2772222222
390097.9,1430011.57,390116.9972222222
390051.34,1430163.15,390070.4372222222
390084.07,1430156.57,390103.1672222222
390119.58,1430152.52,390138.6772222222
390153.18,1430148.3,390172.2772222222
390059.89,1430278.64,390078.9872222222
389979.41,1430197.1,389998.50722222216
389979.37,1430063.55,389998.4672222222
390295.46,1430818.67,390314.5572222222
390319.02,1430828.82,390338.1172222222
390253.51,1430860.86,390272.6072222222
389780,1429026,389799.0972222222
389865,1429000,389884.0972222222
389870,1429100,389889.0972222222
389900,1429200,389919.0972222222
389920,1429300,389939.0972222222
389900,1429380,389919.0972222222
390233.49,1430278.55,390252.5872222222
390147.62,1428669.95,390166.7172222222
390202.14,1428646.59,390221.2372222222
0,0,-17976931348623157e292
391058.1,1429128.75,391077.19722222217
390201.64,1431421.59,390220.7372222222
389935.31,1430374.37,389954.4072222222
390200,1430520,390219.0972222222
391954.13,1429350.85,391973.2272222222
389649.67,1430744.51,389668.7672222222
389651.02,1430751.23,389670.1172222222
391749.23,1429821.91,391768.3272222222
390506.37,1430372.58,390525.4672222222
391036.49,1429825.08,391055.5872222222
391036.59,1429824.92,391055.6872222222
391036.6,1429824.92,391055.69722222217
390517.48,1430362.21,390536.5772222222
390517.33,1430363.43,390536.4272222222
390517.34,1430363.43,390536.4372222222
390517.35,1430363.43,390536.44722222217
390642.23,1430791.46,390661.3272222222
389992.37,1429611.25,390011.4672222222
390264.7,1430131.16,390283.7972222222
390711.45,1429390.55,390730.5472222222
390175,1431000,390194.0972222222
390605.26,1429534.3,390624.3572222222
390601.24,1429275.17,390620.3372222222
390878.78,1429475.91,390897.8772222222
390934.24,1429091.97,390953.3372222222
391093.11,1429042.62,391112.2072222222
391157.39,1429088.84,391176.4872222222
390974.02,1429265.19,390993.1172222222
390896.72,1429651.57,390915.81722222216
390814.35,1429677.6,390833.44722222217
390836.94,1429755.76,390856.0372222222
390905.34,1429744.95,390924.4372222222
391023.97,1429703.66,391043.06722222216
390961.45,1429817.88,390980.5472222222
391046.82,1429814.94,391065.9172222222
390178.7,1430360.39,390197.7972222222
390119.96,1430708.08,390139.0572222222
390055.73,1430760.08,390074.8272222222
390030.84,1430924.82,390049.9372222222
390034.84,1430924.82,390053.9372222222
390257.13,1430927.51,390276.2272222222
391029.97,1429849.28,391049.06722222216
391075.08,1429778.56,391094.1772222222
390912.24,1429906.03,390931.3372222222
391030.88,1429927.08,391049.9772222222
391121.79,1429764.38,391140.88722222217
389022.87,1430523.5,389041.9672222222
389066.51,1430453.76,389085.6072222222
389136.85,1430488.77,389155.94722222217
389099.73,1430567.8,389118.8272222222
389078.92,1430508.1,389098.0172222222
391227.9,1430735.91,391246.9972222222
391127.29,1430871.45,391146.38722222217
390234.39,1431004.19,390253.4872222222
390160.33,1431016.77,390179.4272222222
390260,1430510,390279.0972222222
390280,1430520,390299.0972222222
390290,1430530,390309.0972222222
390508.48,1431275.91,390527.5772222222
391100.18,1430906.29,391119.2772222222
391841,1429980.85,391860.0972222222
389910.69,1429914.06,389929.7872222222
389633.46,1429696.18,389652.5572222222
389690.12,1429642.19,389709.2172222222
389903.89,1429800.21,389922.9872222222
389789.41,1429691.35,389808.50722222216
390250,1430500,390269.0972222222
391577.07,1429955.35,391596.1672222222
391523.96,1430054.06,391543.0572222222
391433.03,1430252.61,391452.1272222222
391726.56,1430127.04,391745.6572222222
391712.4,1430119.77,391731.4972222222
391697.52,1430112.2,391716.6172222222
391673.96,1430132.34,391693.0572222222
391655.96,1430141.67,391675.0572222222
391627.16,1430148.84,391646.25722222216
391635.29,1430130.69,391654.38722222217
391604.67,1430138.26,391623.7672222222
391551.47,1430111.9,391570.56722222216
391560.34,1430097.47,391579.4372222222
391530.49,1430090.53,391549.5872222222
391543.94,1430069.16,391563.0372222222
391554.21,1430056.68,391573.3072222222
391505.79,1430030.78,391524.88722222217
391624.97,1429859.23,391644.06722222216
391640.17,1429830.29,391659.2672222222
391689.72,1429734.45,391708.81722222216
391727.65,1429697.79,391746.7472222222
391758.3,1429767.88,391777.3972222222
391643.14,1429714.63,391662.2372222222
391673.47,1429774.45,391692.56722222216
391704.07,1429861.6,391723.1672222222
391599.82,1429808.57,391618.9172222222
391538.05,1430021.71,391557.1472222222
391456.31,1430083.26,391475.4072222222
391457.06,1430132.29,391476.1572222222
391512.26,1430138.72,391531.3572222222
391580.66,1430175.41,391599.75722222216
391628.01,1430193.03,391647.1072222222
391681.99,1430171.36,391701.0872222222
391740.48,1430086.69,391759.5772222222
391699.23,1430199.85,391718.3272222222
391567.56,1430206.59,391586.6572222222
391497.88,1430174.48,391516.9772222222
391400.04,1430095.94,391419.13722222217
391408.63,1430043.51,391427.7272222222
391519.63,1430268.55,391538.7272222222
391631.5,1430299.59,391650.5972222222
391264.24,1430532.01,391283.3372222222
391250.41,1430562.12,391269.50722222216
391291.75,1430542.27,391310.8472222222
391277.05,1430563.22,391296.1472222222
391256.06,1430521.57,391275.1572222222
391247.01,1430542.82,391266.1072222222
0,0,-17976931348623157e292
0,0,-17976931348623157e292
0,0,-17976931348623157e292
390636.96,1427025.62,390656.0572222222
390191.44,1429846.17,390210.5372222222
390206.73,1429992.92,390225.8272222222
390262.13,1430033.19,390281.2272222222
390262.66,1429991.37,390281.75722222216
390332.67,1430041.59,390351.7672222222
390336.23,1429985.08,390355.3272222222
390149.41,1429943.4,390168.50722222216
390192.75,1429896.62,390211.8472222222
390242.27,1429932.85,390261.3672222222
390351.09,1429896.01,390370.1872222222
390376.22,1429829.75,390395.31722222216
390393.14,1429870.94,390412.2372222222
390412.02,1429818.15,390431.1172222222
390425.83,1429871.98,390444.9272222222
390212.86,1429832.78,390231.9572222222
390265.29,1429808.17,390284.38722222217
390355.97,1429783.22,390375.06722222216
390199.45,1429776.23,390218.5472222222
390287.64,1429748.14,390306.7372222222
390292.41,1429718.83,390311.50722222216
390430.22,1429747.67,390449.31722222216
390462.95,1429859.24,390482.0472222222
390475.88,1429961.22,390494.9772222222
390431.75,1430042.99,390450.8472222222
390218.85,1430080.31,390237.94722222217
390296.38,1430109.04,390315.4772222222
390369.09,1430157.29,390388.1872222222
390499.14,1429838.29,390518.2372222222
390524.32,1430230.35,390543.4172222222
389940.55,1429791.73,389959.6472222222
390050.16,1429904.4,390069.25722222216
390045.28,1429618.12,390064.3772222222
390030.24,1429570.35,390049.3372222222
390008.18,1429498.67,390027.2772222222
389733.29,1429478.31,389752.38722222217
389755.8,1429636.72,389774.8972222222
389744.08,1429723.26,389763.1772222222
389854.93,1429757.15,389874.0272222222
389884.63,1429882.86,389903.7272222222
389937.01,1429919.77,389956.1072222222
390087.55,1429435.09,390106.6472222222
390117.4,1429552.84,390136.4972222222
390133.59,1429604.74,390152.6872222222
390240.71,1429535.66,390259.8072222222
390144.59,1429648.63,390163.6872222222
390176.21,1429677.96,390195.3072222222
390069.71,1429316.15,390088.8072222222
390211.59,1429364.27,390230.6872222222
389579.48,1429670.84,389598.5772222222
389678.41,1428946.71,389697.50722222216
389966.87,1428982.89,389985.9672222222
389648.99,1430746.11,389668.0872222222
389341.69,1429766.2,389360.7872222222
390203.85,1429232.14,390222.94722222217
389551.89,1430076.79,389570.9872222222
389755.79,1430254.83,389774.88722222217
390139.4,1430119.03,390158.4972222222
390127.19,1430087.83,390146.2872222222
390117.93,1430065.7,390137.0272222222
390107.8,1430039.07,390126.8972222222
389860,1429400,389879.0972222222
389880,1429420,389899.0972222222
389800,1429500,389819.0972222222
389810,1429500,389829.0972222222
389820,1429500,389839.0972222222
389922.13,1429533.76,389941.2272222222
389918.71,1429255.81,389937.8072222222
389915.24,1429535.8,389934.3372222222
392015.03,1429402.88,392034.1272222222
392024.55,1429372.14,392043.6472222222
391966.45,1429356.84,391985.5472222222
391980.22,1429368.3,391999.31722222216
391982.54,1429396.53,392001.63722222217
391892.97,1429270.92,391912.06722222216
391986.12,1429317.34,392005.2172222222
391800.07,1429283.52,391819.1672222222
391886.19,1429411.71,391905.2872222222
391881.68,1429497.3,391900.7772222222
391719.63,1429360.58,391738.7272222222
391968.71,1429463.08,391987.8072222222
391934.27,1429534.27,391953.3672222222
391837.9,1429236.95,391856.9972222222
392315,1426600.83,392334.0972222222
392124.95,1428730.21,392144.0472222222
392437.03,1428500.41,392456.1272222222
392514.76,1428428.84,392533.8572222222
392556.78,1427428.3,392575.8772222222
392574.48,1428280.7,392593.5772222222
392474.81,1427312.77,392493.9072222222
392239.18,1427976.65,392258.2772222222
392395.49,1427928.6,392414.5872222222
392563.01,1427930.25,392582.1072222222
392508.72,1428533.35,392527.81722222216
392778.75,1428060.7,392797.8472222222
392353.13,1428569.88,392372.2272222222
392554.48,1427426.48,392573.5772222222
392780.04,1427627.63,392799.13722222217
0,0,-17976931348623157e292
392351.25,1428391.18,392370.3472222222
392345.97,1427766.25,392365.06722222216
392368.97,1427763.74,392388.06722222216
392535.39,1428414.14,392554.4872222222
392543.85,1428385.68,392562.94722222217
392314.04,1427791.32,392333.13722222217
392666.39,1427877.23,392685.4872222222
392149.21,1427815.14,392168.3072222222
392534.05,1427692.21,392553.1472222222
392756.87,1427885.78,392775.9672222222
392756.8,1427885.7,392775.8972222222
392992.03,1428040.56,393011.1272222222
392863.31,1427412.11,392882.4072222222
0,0,-17976931348623157e292
392828.89,1428476.15,392847.9872222222
393257.9,1428058.85,393276.9972222222
393692.75,1427393.8,393711.8472222222
392173.92,1427551.35,392193.0172222222
391866.35,1427865.85,391885.44722222217
391890.97,1428247.13,391910.06722222216
392364.59,1427627.74,392383.6872222222
0,0,-17976931348623157e292
392230.01,1427809.71,392249.1072222222
392343,1427614.01,392362.0972222222
392344.9,1427614.27,392363.9972222222
392515,1427383,392534.0972222222
391968.23,1427891.92,391987.3272222222
391935.28,1427909.14,391954.3772222222
391910.31,1427986.9,391929.4072222222
392096.27,1428176.94,392115.3672222222
392065.5,1428250.78,392084.5972222222
391920.39,1428154.34,391939.4872222222
392838.18,1428238.26,392857.2772222222
392755.5,1428164.15,392774.5972222222
392708.11,1428240.47,392727.2072222222
392681.87,1428293.75,392700.9672222222
392666.5,1428340.64,392685.5972222222
392588.48,1428493.65,392607.5772222222
392082.88,1427986.56,392101.9772222222
392533.96,1427697.81,392553.0572222222
392729.88,1427361.49,392748.9772222222
391946.82,1428581.78,391965.9172222222
392766.32,1427344.88,392785.4172222222
392656.48,1427427.44,392675.5772222222
