LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,start_date,last_date,last_meas,last10mean,water_elev
B04546,389977.427222222,1429627.06833333,1109.28,1109.09,114,124,124,0,389977.427222222,1429627.06833333,2003-06-10,2018-05-16,27.04,26.544,1082.5459999999998
B04547,390026.737222222,1429896.43833333,1104.54,1104.21,153,163,163,0,390026.737222222,1429896.43833333,2003-06-10,2019-10-21,38.12,38.957,1065.253
B04548,390158.387222222,1429896.72833333,1108.31,1107.92,127,137,137,0,390158.387222222,1429896.72833333,2003-06-10,2019-10-21,41.97,45.813,1062.107
B04549,390259.037222222,1430081.00833333,1096.75,1096.49,118,128,128,0,390259.037222222,1430081.00833333,2007-12-05,2019-02-05,38.4,39.863,1056.627
B04557,390809.547222222,1431152.79833333,1055.78,1058.55,43,113,113,0,390809.547222222,1431152.79833333,2005-07-18,2019-10-18,35.03,33.416,1025.134
B04558,390928.207222222,1430649.55833333,1040.46,1043.16,114,124,124,0,390928.207222222,1430649.55833333,2016-05-18,2018-04-02,12.32,12.616,1030.544
B04559,390878.247222222,1430567.96833333,1041.76,1044.45,84,94,94,0,390878.247222222,1430567.96833333,2016-10-18,2016-10-18,8.03,8.03,1036.42
B04560,390890.137222222,1430458.79833333,1047.04,1049.35,87,97,97,0,390890.137222222,1430458.79833333,2004-10-18,2019-10-16,12.93,10.350999999999999,1038.9989999999998
B04561,390890.837222222,1430462.84833333,1046.82,1049.56,55,65,65,0,390890.837222222,1430462.84833333,2005-07-18,2019-10-16,13.13,10.015,1039.5449999999998
B04562,389932.277222222,1429709.42833333,1107.82,1107.63,134,184,184,0,389932.277222222,1429709.42833333,2005-04-18,2017-04-03,NA,29.63,1078
B04563,389909.197222222,1429713.83833333,1107.39,1107.17,124,184,184,0,389909.197222222,1429713.83833333,2005-04-18,2018-04-02,28.24,28.805714285714284,1078.3642857142859
B04564,389891.217222222,1429684.41833333,1107.23,1107.03,110,180,180,0,389891.217222222,1429684.41833333,2005-04-18,2019-10-20,28.24,28.99,1078.04
B04565,390006.277222222,1429691.77833333,1108.82,1108.59,118,218,218,0,390006.277222222,1429691.77833333,2005-04-18,2018-04-02,29.16,31.805555555555557,1076.7844444444443
B04570,390053.827222222,1429675.84833333,1108.95,1108.62,109.5,119.5,119.5,0,390053.827222222,1429675.84833333,2004-10-18,2019-05-15,31.48,35.638,1072.982
B04571,389944.897222222,1429645.77833333,1107.73,1107.63,84,94,94,0,389944.897222222,1429645.77833333,2013-10-07,2014-04-08,32.4,32.57,1075.0600000000002
B04572,389945.187222222,1429655.65833333,1107.73,1107.63,68,78,78,0,389945.187222222,1429655.65833333,2013-10-07,2014-04-08,32.15,32.585,1075.045
B04573,389944.927222222,1429665.42833333,1107.73,1107.63,50.5,60.5,60.5,0,389944.927222222,1429665.42833333,2009-09-01,2019-10-22,28.34,27.785,1079.845
B04576,389971.567222222,1429631.43833333,1109.24,1109,60,70,70,0,389971.567222222,1429631.43833333,2009-09-03,2019-10-23,29.47,28.688,1080.312
B04582,389939.217222222,1429645.94833333,1107.41,1107.17,50,60,60,0,389939.217222222,1429645.94833333,2010-03-23,2010-08-02,36.23,33.32,1073.8500000000001
B04589,390037.777222222,1429687.58833333,1108.84,1108.19,5,15,15,0,390037.777222222,1429687.58833333,2010-03-22,2019-02-01,28.7,32.44,1075.75
B04591,389932.667222222,1429627.59833333,1107.55,1107.23,67,77,77,0,389932.667222222,1429627.59833333,2009-09-01,2014-04-08,31.03,33.052,1074.178
B04592,389935.377222222,1429627.70833333,1107.55,1107.19,49,59,59,0,389935.377222222,1429627.70833333,2009-12-10,2014-04-08,30.67,32.645,1074.545
B04600,390153.917222222,1430335.96833333,1096.56,1096.01,74,84,84,0,390153.917222222,1430335.96833333,2009-06-16,2010-12-28,39.63,40.68,1055.33
B04600A,390157.927222222,1430335.46833333,1096.56,1096.01,41,41.1,41.1,0,390157.927222222,1430335.46833333,2013-10-07,2014-04-08,NA,NaN,NaN
B04600B,390156.437222222,1430333.46833333,1096.56,1096.01,48,48.1,48.1,0,390156.437222222,1430333.46833333,2013-10-07,2014-04-08,40.19,42.629999999999995,1053.38
B04600C,390157.447222222,1430333.96833333,1096.56,1096.01,55,55.1,55.1,0,390157.447222222,1430333.96833333,2011-10-11,2019-05-09,38.82,40.132,1055.878
B04600D,390155.457222222,1430331.96833333,1096.56,1096.01,62,62.1,62.1,0,390155.457222222,1430331.96833333,2011-10-11,2019-10-17,39.01,39.532,1056.478
B04600E,390156.467222222,1430332.96833333,1096.56,1096.01,69,69.1,69.1,0,390156.467222222,1430332.96833333,2011-10-11,2019-05-09,38.4,39.951,1056.059
B04600F,390152.477222222,1430331.96833333,1096.56,1096.01,76,76.1,76.1,0,390152.477222222,1430331.96833333,2011-10-11,2019-10-17,39.15,40.063,1055.947
B04601,390335.237222222,1430303.71833333,1093.08,1092.83,100,110,110,0,390335.237222222,1430303.71833333,2009-06-15,2010-12-29,48.04,43.346000000000004,1049.484
B04601A,390338.247222222,1430306.21833333,1093.08,1092.83,45,45.1,45.1,0,390338.247222222,1430306.21833333,2013-10-07,2014-04-08,41.53,42.08,1050.75
B04601B,390336.257222222,1430305.21833333,1093.08,1092.83,54,54.1,54.1,0,390336.257222222,1430305.21833333,2013-10-07,2014-04-08,41.41,41.935,1050.895
B04601C,390333.767222222,1430305.21833333,1093.08,1092.83,63,63.1,63.1,0,390333.767222222,1430305.21833333,2011-10-11,2019-10-17,40.9,42.336,1050.494
B04601D,390333.277222222,1430304.71833333,1093.08,1092.83,72,72.1,72.1,0,390333.277222222,1430304.71833333,2013-06-03,2019-10-17,40.79,43.46,1049.37
B04601E,390335.287222222,1430302.71833333,1093.08,1092.83,81,81.1,81.1,0,390335.287222222,1430302.71833333,2011-10-11,2019-10-17,77.14,43.446666666666665,1049.3833333333332
B04601F,390335.797222222,1430301.71833333,1093.08,1092.83,90,90.1,90.1,0,390335.797222222,1430301.71833333,2011-10-11,2019-10-17,38.85,48.76,1044.07
B04601G,390336.307222222,1430306.21833333,1093.08,1092.83,99,99.1,99.1,0,390336.307222222,1430306.21833333,2011-10-11,2019-10-17,53,44.205,1048.625
B04602,390462.017222222,1430242.21833333,1075.74,1075.39,45,55,55,0,390462.017222222,1430242.21833333,2009-12-09,2010-12-20,30.56,29.655,1045.7350000000001
B04603,390614.097222222,1430298.43833333,1070.79,1070.63,55,65,65,0,390614.097222222,1430298.43833333,2010-08-20,2019-10-16,29.92,26.741,1043.8890000000001
B04604,389906.687222222,1429548.49833333,1108.66,1108.16,85,95,95,0,389906.687222222,1429548.49833333,2009-09-02,2018-04-02,24.39,28.161,1079.999
B04605,389980.397222222,1429757.32833333,1104.82,1104.5,70,80,80,0,389980.397222222,1429757.32833333,2009-08-31,2017-10-02,22.45,34.126,1070.374
B04606,390129.747222222,1429915.25833333,1107.65,1107.4,71,81,81,0,390129.747222222,1429915.25833333,2009-09-03,2019-05-14,27.2,24.02,1083.38
B04607,390223.607222222,1430066.73833333,1098.01,1097.62,95,105,105,0,390223.607222222,1430066.73833333,2009-09-02,2018-04-02,38.4,43.666,1053.954
B04608,389886.537222222,1429676.09833333,1107.09,1106.72,88,98,98,0,389886.537222222,1429676.09833333,2009-09-01,2019-10-20,28.02,29.875,1076.845
B04639,389909.257222222,1429576.11833333,1107.75,1107.37,140,160,160,0,389909.257222222,1429576.11833333,2011-10-06,2019-10-22,140.15,38.928,1068.442
B04640,390319.437222222,1429937.18833333,1106.07,1105.8,147,167,167,0,390319.437222222,1429937.18833333,2009-09-02,2018-02-21,46.39,49.147,1056.653
B04641,390080.727222222,1430086.95833333,1099.83,1099.21,156,176,176,0,390080.727222222,1430086.95833333,2009-09-02,2018-05-18,34.9,35.89111111111111,1063.318888888889
B04642,390315.657222222,1430396.13833333,1094.09,1093.65,115,135,135,0,390315.657222222,1430396.13833333,2011-10-05,2019-10-16,50.25,49.472,1044.178
B04643,389810.797222222,1429486.08833333,1107.31,1107.08,94,164,164,0,389810.797222222,1429486.08833333,2011-10-06,2018-04-02,24.13,25.653,1081.427
B04649,390002.687222222,1429811.62833333,1105.45,1104.58,192,247,247,0,390002.687222222,1429811.62833333,2011-10-05,2018-05-21,26.85,30.235714285714288,1074.3442857142857
B04654,390239.597222222,1429854.54833333,1108.01,1107.53,147,157,157,0,390239.597222222,1429854.54833333,2010-08-02,2018-04-02,43.55,47.1,1060.43
B04658,390340.767222222,1429919.01833333,1106.55,1106.61,125,135,135,0,390340.767222222,1429919.01833333,2010-08-02,2017-10-02,49.25,49.38111111111111,1057.2288888888888
B04662,390375.997222222,1430017.81833333,1094.23,1094.1,80,120,120,0,390375.997222222,1430017.81833333,2010-03-16,2017-10-02,39,38.752,1055.348
B04665,390250.817222222,1430149.19833333,1100.86,1100.3,112,142,142,0,390250.817222222,1430149.19833333,2011-10-05,2017-10-02,40.72,42.409,1057.8909999999998
B04667,390524.607222222,1430033.58833333,1086.93,1086.44,53,68,68,0,390524.607222222,1430033.58833333,2010-08-02,2018-04-02,32.89,34.478,1051.962
B04669,390549.307222222,1430258.60833333,1072.61,1072.01,50,60,60,0,390549.307222222,1430258.60833333,2010-08-05,2013-10-07,28.57,28.32,1043.69
B04670,390582.017222222,1430272.44833333,1070.43,1070.77,50,105,105,0,390582.017222222,1430272.44833333,2010-03-17,2018-04-02,23.43,24.853,1045.917
B04681,391079.847222222,1430957.25833333,1026.81,1026.57,NA,NA,NA,0,391079.847222222,1430957.25833333,2011-10-03,2019-10-21,8.4,8.121,1018.449
B04682,391076.847222222,1430950.31833333,1026.81,1026.57,60,70,70,0,391076.847222222,1430950.31833333,2011-10-03,2019-10-22,8.18,7.545,1019.025
B04683,391081.297222222,1430953.76833333,1026.81,1026.57,85,100,100,0,391081.297222222,1430953.76833333,2009-09-18,2019-10-21,8.68,7.718,1018.852
B04684,391147.047222222,1430884.15833333,1029.29,1029.03,NA,NA,NA,0,391147.047222222,1430884.15833333,2011-10-04,2019-10-21,7.88,7.7829999999999995,1021.247
B04685,391147.557222222,1430881.68833333,1029.29,1029.03,50,60,60,0,391147.557222222,1430881.68833333,2011-10-04,2019-10-20,8.32,8.31,1020.72
B04686,391145.507222222,1430877.23833333,1029.29,1029.03,75,100,100,0,391145.507222222,1430877.23833333,2009-09-17,2019-10-20,8.01,7.983,1021.047
B04687,391209.247222222,1430812.35833333,1034.66,1034.52,NA,NA,NA,0,391209.247222222,1430812.35833333,2011-10-04,2019-10-17,9.88,8.132,1026.388
B04688,391206.767222222,1430808.43833333,1034.66,1034.52,NA,NA,NA,0,391206.767222222,1430808.43833333,2011-10-04,2019-10-17,10.8,9.57,1024.95
B04689,391212.217222222,1430812.88833333,1034.67,1034.52,87.4,97.4,97.4,0,391212.217222222,1430812.88833333,2009-09-16,2019-10-17,10.93,10.208,1024.312
B04690,391147.357222222,1430905.19833333,1027.26,1027.22,35.5,55.5,55.5,0,391147.357222222,1430905.19833333,2009-02-26,2019-10-21,10.87,10.344,1016.876
B04691,391196.787222222,1430856.88833333,1031.78,1031.6,45,55,55,0,391196.787222222,1430856.88833333,2009-02-26,2019-10-22,10.36,9.168,1022.4319999999999
B04692,391250.327222222,1430807.39833333,1039.87,1039.79,70,80,80,0,391250.327222222,1430807.39833333,2009-02-26,2019-10-17,19.97,17.198,1022.592
B04693,391142.947222222,1430941.95833333,1024.68,1024.11,NA,NA,NA,0,391142.947222222,1430941.95833333,2011-10-03,2019-10-21,9.14,8.307,1015.8029999999999
B04694,391140.927222222,1430938.03833333,1024.68,1024.11,NA,NA,NA,0,391140.927222222,1430938.03833333,2011-10-03,2019-10-21,8.93,8.326,1015.7839999999999
B04695,391146.477222222,1430944.48833333,1024.68,1024.11,75,95,95,0,391146.477222222,1430944.48833333,2009-09-16,2019-10-21,4.86,5.043,1019.0669999999999
B04696,391181.647222222,1430909.45833333,1028.48,1028.44,NA,NA,NA,0,391181.647222222,1430909.45833333,2011-10-04,2019-10-22,13.02,10.808,1017.6320000000001
B04697,391177.667222222,1430905.50833333,1028.48,1028.44,NA,NA,NA,0,391177.667222222,1430905.50833333,2012-10-03,2019-10-22,12.51,12.201,1016.239
B04698,391180.117222222,1430906.95833333,1028.48,1028.44,83,93,93,0,391180.117222222,1430906.95833333,2009-09-15,2019-10-22,8.77,16.785,1011.6550000000001
B04699,391246.247222222,1430847.25833333,1036.08,1035.67,48,58,58,0,391246.247222222,1430847.25833333,2011-10-04,2019-10-22,17.21,15.09,1020.58
B04700,391244.227222222,1430843.33833333,1036.08,1035.67,NA,NA,NA,0,391244.227222222,1430843.33833333,2011-10-04,2019-10-22,17.46,15.16,1020.5100000000001
B04701,391248.777222222,1430847.78833333,1036.08,1035.67,90,110,110,0,391248.777222222,1430847.78833333,2009-09-14,2019-10-22,15.85,14.493,1021.177
B04707,391133.737222222,1430914.35833333,1025.8,1025.94,53,68,68,0,391133.737222222,1430914.35833333,2009-12-09,2009-12-09,6.43,6.425,1019.5150000000001
B04715,391221.777222222,1430829.52833333,1034.85,1034.71,68,88,88,0,391221.777222222,1430829.52833333,2009-12-09,2009-12-09,9.69,9.68,1025.03
B04729,390137.437222222,1430332.33833333,1096.76,1096.24,80,90,90,0,390137.437222222,1430332.33833333,2010-12-28,2010-12-28,41.63,41.63,1054.61
B04730,390143.587222222,1430330.14833333,1096.76,1096.5,125,135,135,0,390143.587222222,1430330.14833333,2010-12-25,2010-12-25,41.09,41.09,1055.41
B04734,391050.217222222,1431001.81833333,1031.91,1031.75,48,58,58,0,391050.217222222,1431001.81833333,2010-12-16,2010-12-16,18.18,18.18,1013.57
B04735,391056.417222222,1431005.84833333,1031.92,1031.52,65,75,75,0,391056.417222222,1431005.84833333,2010-12-16,2010-12-16,16,16,1015.52
B04736,391056.177222222,1430999.23833333,1031.32,1030.94,88,98,98,0,391056.177222222,1430999.23833333,2010-12-15,2010-12-15,13.16,13.16,1017.7800000000001
B04737,391312.527222222,1430738.03833333,1053.68,1053.2,42,52,52,0,391312.527222222,1430738.03833333,2010-12-14,2010-12-14,22.02,22.02,1031.18
B4MWAA,390220.737222222,1431458.04833333,1071.48,1071.47,59.35,74.51,74.51,0,390220.737222222,1431458.04833333,1997-11-20,2018-04-02,31.21,33.245555555555555,1038.2244444444445
B4MWBB,389959.907222222,1430416.82833333,1093.7,1093.26,29,44.23,44.23,0,389959.907222222,1430416.82833333,1997-11-19,2019-10-17,35.79,35.289,1057.971
B4MWDD,391973.227222222,1429387.30833333,1095.67,1097.9,41,56,56,0,391973.227222222,1429387.30833333,2001-06-26,2018-04-02,32.25,33.775,1064.125
B4MWE,389668.767222222,1430780.96833333,1095.34,NA,14.5,29.5,29.5,0,389668.767222222,1430780.96833333,2000-03-06,2000-03-06,NA,NaN,NA
