Point No.,Northing,Easting,Elevation,Description,ID_Name,Checked if Approximate,Reason,,,
7286,1431014.717,2187667.131,1027.045,BH-36,DPT36M,,Unable to determine A or M,,,
7287,1431026.496,2187660.001,1028.188,BH-45,DPT45M,,Unable to determine A or M,,,
7288,1431045.848,2187649.705,1030.994,BH-44,DPT44M,,Unable to determine A or M,,,
7289,1431052.766,2187646.058,1032.04,BH-42,DPT42M,,Unable to determine A or M,,,
7290,1431055.395,2187647.969,1032.309,MW-BR/06,BR06,,,,,
7290,1431055.395,2187647.969,1032.295,,BR06,,PVC PIPE,,,
7290,1431055.395,2187647.969,1032.159,,BR06,,Ground Elevation,,,
7293,1430993.618,2187659.662,1027.46,BH-33,DPT33M,,Unable to determine A or M,,,
7294,1430981.187,2187671.524,1027.134,BH-34,DPT34M,,Unable to determine A or M,,,
7296,1430996.835,2187657.189,1027.853,BH-BR/05,BR05,,,,,
7296,1430996.835,2187657.189,1027.562,,BR05,,Ground Elevation,,,
7296,1430996.835,2187657.189,1027.816,,BR05,,PVC PIPE,,,
7298,1431012.978,2187639.846,1028.565,BH-32,DPT32M,,Unable to determine A or M,,,
7299,1431025.78,2187626.835,1030.122,BH-31,DPT31M,,Unable to determine A or M,,,
7300,1431038.654,2187606.348,1032.523,BH-43,DPT43M,,Unable to determine A or M,,,
7302,1430616.147,2187390.278,1044.689,MW-10,OB10,,,,,
7302,1430616.147,2187390.278,1040.328,,OB10,,Ground Elevation,,,This is actually OB10
7302,1430616.147,2187390.278,1044.308,,OB10,,PVC PIPE,,,
7305,1430611.051,2187403.582,1044.994,MW-10,BR10,,,,,This is actually BR10
7305,1430611.051,2187403.582,1044.538,,BR10,,PVC PIPE,,,
7305,1430611.051,2187403.582,1040.85,,BR10,,Ground Elevation,,,
7307,1430952.442,2187694.523,1027.711,BH-35,DPT35M,,Unable to determine A or M,,,
7308,1431026.28,2187599.777,1032.752,MW-OB/04,OB04,,,,,
7308,1431026.28,2187599.777,1032.777,,OB04,,PVC PIPE,,,
7308,1431026.28,2187599.777,1032.525,,OB04,,Ground Elevation,,,
7312,1431019.63,2187589.384,1033.153,MW-BR/04,BR04,,,,,
7312,1431019.63,2187589.384,1032.921,,BR04,,Ground Elevation,,,
7312,1431019.63,2187589.384,1033.155,,BR04,,PVC PIPE,,,
7314,1431020.145,2187595.721,1032.798,BH-41M,DPT41M,,Mark Not found,,,
7316,1431027.357,2187591.825,1033.317,BH-41A,DPT41A,,Mark Not found,,,
