hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT33A,2020-06-03T12:28:00Z,Vinyl chloride,32,34,0,ug/L,ND,12.5U,U,5.00,25.0
DPT33A,2020-06-03T16:05:00Z,Vinyl chloride,36.5,38.5,0,ug/L,ND,50.0U,U,20.0,100
DPT34A,2020-06-03T16:34:00Z,Vinyl chloride,11,13,0.657,ug/L,0.657,0.657J,J,0.200,1.00
DPT34A,2020-06-04T08:56:00Z,Vinyl chloride,19.8,21.8,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T11:42:00Z,Vinyl chloride,28,30,0,ug/L,ND,1.00U,U,0.400,2.00
DPT34A,2020-06-04T14:41:00Z,Vinyl chloride,35,37,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T15:57:00Z,Vinyl chloride,40.3,42.3,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T17:01:00Z,Vinyl chloride,44,46,0,ug/L,ND,2.50U,U,1.00,5.00
DPT35A,2020-06-08T12:53:00Z,Vinyl chloride,15,17,2.9699999999999998,ug/L,2.97,2.97,NA,0.200,1.00
DPT35A,2020-06-08T17:05:00Z,Vinyl chloride,27,29,0.6649999999999999,ug/L,0.665,0.665J,J,0.200,1.00
DPT35A,2020-06-09T09:58:00Z,Vinyl chloride,39,41,0,ug/L,ND,1.00U,U,0.400,2.00
DPT35A,2020-06-09T14:01:00Z,Vinyl chloride,54,56,0,ug/L,ND,2.50U,U,1.00,5.00
DPT35A,2020-06-09T16:23:00Z,Vinyl chloride,59.5,61.5,0,ug/L,ND,1.00U,U,0.400,2.00
DPT36A,2020-06-03T09:11:00Z,Vinyl chloride,12,14,3.6,ug/L,3.6,3.60,NA,0.200,1.00
DPT36A,2020-06-03T12:14:00Z,Vinyl chloride,24,26,0,ug/L,ND,50.0U,U,20.0,100
DPT37A,2020-06-01T11:09:00Z,Vinyl chloride,12.1,14.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT37A,2020-06-01T13:31:00Z,Vinyl chloride,18.1,20.1,2.18,ug/L,2.18,2.18,NA,0.200,1.00
DPT37A,2020-06-02T12:08:00Z,Vinyl chloride,32.2,34.2,123,ug/L,123,123,NA,0.400,2.00
DPT37A,2020-06-02T13:16:00Z,Vinyl chloride,38.5,40.5,151,ug/L,151,151,NA,5.00,25.0
DPT38A,2020-06-10T11:22:00Z,Vinyl chloride,21.7,23.7,6.17,ug/L,6.17,6.17,NA,0.400,2.00
DPT38A,2020-06-10T13:39:00Z,Vinyl chloride,28.3,30.3,0,ug/L,ND,25.0U,U,10.0,50.0
DPT38A,2020-06-11T10:56:00Z,Vinyl chloride,35.9,37.9,0,ug/L,ND,25.0U,U,10.0,50.0
DPT38A,2020-06-11T10:21:00Z,Vinyl chloride,45,47,0,ug/L,ND,12.5U,U,5.00,25.0
DPT39A,2020-06-10T11:08:00Z,Vinyl chloride,13,15,8.79,ug/L,8.79,8.79,NA,0.200,1.00
DPT39A,2020-06-10T12:27:00Z,Vinyl chloride,20.1,22.1,15.1,ug/L,15.1,15.1,NA,0.200,1.00
DPT39A,2020-06-10T14:15:00Z,Vinyl chloride,29,31,0,ug/L,ND,50.0U,U,20.0,100
DPT39A,2020-06-10T15:59:00Z,Vinyl chloride,35,37,0,ug/L,ND,25.0U,U,10.0,50.0
DPT39A,2020-06-11T08:33:00Z,Vinyl chloride,40,42,0,ug/L,ND,25.0U,U,10.0,50.0
DPT39A,2020-06-11T13:27:00Z,Vinyl chloride,50.5,52.5,0,ug/L,ND,12.5U,U,5.00,25.0
DPT04A,2020-06-28T14:30:00Z,Vinyl chloride,55,57,0,ug/L,ND,0.500U,U,0.200,1.00
DPT04A,2020-06-28T16:41:00Z,Vinyl chloride,87.6,89.6,0,ug/L,ND,0.500U,U,0.200,1.00
DPT04A,2020-06-29T09:15:00Z,Vinyl chloride,93,95,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T10:42:00Z,Vinyl chloride,11,13,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T11:59:00Z,Vinyl chloride,18,20,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T14:34:00Z,Vinyl chloride,25,27,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-02T09:54:00Z,Vinyl chloride,27.5,29.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-30T12:15:00Z,Vinyl chloride,15,17,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-30T13:31:00Z,Vinyl chloride,21,23,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-31T10:17:00Z,Vinyl chloride,31,33,0,ug/L,ND,2.50U,U,1.00,5.00
DPT42A,2020-05-28T11:10:00Z,Vinyl chloride,19.5,21.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-05-28T13:30:00Z,Vinyl chloride,26.3,28.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-06-09T16:33:00Z,Vinyl chloride,46,48,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-30T15:04:00Z,Vinyl chloride,23.4,25.4,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-31T09:01:00Z,Vinyl chloride,26.8,28.8,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-28T16:12:00Z,Vinyl chloride,16.7,18.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-29T12:57:00Z,Vinyl chloride,31.1,33.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-29T15:02:00Z,Vinyl chloride,35,37,0,ug/L,ND,0.500U,U,0.200,1.00
DPT45A,2020-05-28T09:58:00Z,Vinyl chloride,14,16,52.7,ug/L,52.7,52.7,NA,5.00,25.0
DPT45A,2020-05-28T12:50:00Z,Vinyl chloride,21,23,0,ug/L,ND,50.0U,U,20.0,100
DPT45A,2020-05-28T15:13:00Z,Vinyl chloride,30,32,0,ug/L,ND,25.0U,U,10.0,50.0
DPT46A,2020-06-26T10:29:00Z,Vinyl chloride,47.5,49.5,4.619999999999999,ug/L,4.62,4.62J,J,2.00,10.0
DPT46A,2020-06-26T12:26:00Z,Vinyl chloride,55.5,57.5,8.129999999999999,ug/L,8.13,8.13J,J,2.00,10.0
