hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT41A,2020-05-31T10:17:00Z,"cis-1,2-Dichloroethene",29,31,22,ug/L,22,22.0,NA,1.00,5.00
DPT42A,2020-05-28T11:10:00Z,"cis-1,2-Dichloroethene",17.5,19.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-05-28T13:30:00Z,"cis-1,2-Dichloroethene",24.3,26.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-06-09T16:33:00Z,"cis-1,2-Dichloroethene",44,46,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-30T15:04:00Z,"cis-1,2-Dichloroethene",21.4,23.4,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-31T09:01:00Z,"cis-1,2-Dichloroethene",24.8,26.8,0.459,ug/L,0.459,0.459J,J,0.200,1.00
DPT44A,2020-05-28T16:12:00Z,"cis-1,2-Dichloroethene",14.7,16.7,0.8440000000000001,ug/L,0.844,0.844J,J,0.200,1.00
DPT44A,2020-05-29T12:57:00Z,"cis-1,2-Dichloroethene",29.1,31.1,1.08,ug/L,1.08,1.08,NA,0.200,1.00
DPT44A,2020-05-29T15:02:00Z,"cis-1,2-Dichloroethene",33,35,1.44,ug/L,1.44,1.44,NA,0.200,1.00
DPT45A,2020-05-28T09:58:00Z,"cis-1,2-Dichloroethene",12,14,604,ug/L,604,604,NA,5.00,25.0
DPT45A,2020-05-28T12:50:00Z,"cis-1,2-Dichloroethene",19,21,683,ug/L,683,683,NA,20.0,100
DPT45A,2020-05-28T15:13:00Z,"cis-1,2-Dichloroethene",28,30,260,ug/L,260,260,NA,10.0,50.0
DPT46A,2020-06-26T10:29:00Z,"cis-1,2-Dichloroethene",45.5,47.5,5.2700000000000005,ug/L,5.27,5.27J,J,2.00,10.0
DPT46A,2020-06-26T12:26:00Z,"cis-1,2-Dichloroethene",53.5,55.5,1090,ug/L,1090,1090,NA,2.00,10.0
DPT46A,2020-06-26T16:37:00Z,"cis-1,2-Dichloroethene",63.5,65.5,977,ug/L,977,977,NA,2.00,10.0
DPT46A,2020-06-27T09:58:00Z,"cis-1,2-Dichloroethene",68,70,589,ug/L,589,589,NA,1.00,5.00
DPT05A,2020-06-28T16:09:00Z,"cis-1,2-Dichloroethene",46,48,2.71,ug/L,2.71,2.71,NA,0.200,1.00
DPT05A,2020-06-29T10:29:00Z,"cis-1,2-Dichloroethene",51.7,53.7,1.41,ug/L,1.41,1.41,NA,0.200,1.00
DPT05A,2020-06-29T13:35:00Z,"cis-1,2-Dichloroethene",56.6,58.6,0.708,ug/L,0.708,0.708J,J,0.200,1.00
DPT05A,2020-06-29T16:06:00Z,"cis-1,2-Dichloroethene",64.1,66.1,0.457,ug/L,0.457,0.457J,J,0.200,1.00
DPT05A,2020-06-29T18:01:00Z,"cis-1,2-Dichloroethene",71.9,73.9,8.48,ug/L,8.48,8.48,NA,0.200,1.00
DPT05A,2020-06-30T10:11:00Z,"cis-1,2-Dichloroethene",81.5,83.5,912,ug/L,912,912,NA,5.00,25.0
DPT08A,2020-07-06T14:09:00Z,"cis-1,2-Dichloroethene",56.5,58.5,266,ug/L,266,266,NA,0.400,2.00
DPT08A,2020-07-07T11:09:00Z,"cis-1,2-Dichloroethene",60.8,62.8,183,ug/L,183,183,NA,0.400,2.00
DPT08A,2020-07-07T14:11:00Z,"cis-1,2-Dichloroethene",68.5,70.5,40.4,ug/L,40.4,40.4,NA,0.400,2.00
DPT08A,2020-07-06T15:59:00Z,"cis-1,2-Dichloroethene",73,75,9.61,ug/L,9.61,9.61J,J,2.00,10.0
DPT09A,2020-07-14T10:01:00Z,"cis-1,2-Dichloroethene",48.5,50.5,141,ug/L,141,141,NA,10.0,50.0
DPT09A,2020-07-14T15:00:00Z,"cis-1,2-Dichloroethene",80.7,82.7,79.2,ug/L,79.2,79.2,NA,5.00,25.0
