hole_id,collect_date,analyte,from,to,result_num,units,result,qualifier,rdl
DPT32A,2020-06-04T13:58:00Z,Trichloroethene,32,33,14400,ug/L,14400,NA,50.0
DPT32A,2020-06-04T16:15:00Z,Trichloroethene,39.5,40.5,13700,ug/L,13700,NA,50.0
DPT32A,2020-06-04T17:05:00Z,Trichloroethene,46.5,47.5,13800,ug/L,13800,NA,50.0
DPT34A,2020-06-04T08:56:00Z,Trichloroethene,19.3,20.3,491,ug/L,491,NA,2.50
DPT34A,2020-06-04T11:42:00Z,Trichloroethene,27.5,28.5,326,ug/L,326,NA,1.00
DPT34A,2020-06-04T14:41:00Z,Trichloroethene,34.5,35.5,473,ug/L,473,NA,2.50
DPT34A,2020-06-04T15:57:00Z,Trichloroethene,39.8,40.8,368,ug/L,368,NA,2.50
DPT34A,2020-06-04T17:01:00Z,Trichloroethene,43.5,44.5,380,ug/L,380,NA,2.50
DPT35A,2020-06-08T12:53:00Z,Trichloroethene,14.5,15.5,118,ug/L,118,NA,0.500
DPT35A,2020-06-08T17:05:00Z,Trichloroethene,26.5,27.5,72.7,ug/L,72.7,NA,0.500
DPT35A,2020-06-09T09:58:00Z,Trichloroethene,38.5,39.5,226,ug/L,226,NA,1.00
DPT35A,2020-06-09T12:43:00Z,Trichloroethene,46.5,47.5,385,ug/L,385,NA,2.50
DPT35A,2020-06-09T14:01:00Z,Trichloroethene,53.5,54.5,514,ug/L,514,NA,2.50
DPT35A,2020-06-09T16:23:00Z,Trichloroethene,59,60,197,ug/L,197,NA,1.00
DPT42A,2020-06-09T16:33:00Z,Trichloroethene,45.5,46.5,1.59,ug/L,1.59,NA,0.500
DPT38A,2020-06-10T11:22:00Z,Trichloroethene,21.2,22.2,80.5,ug/L,80.5,NA,1.00
DPT38A,2020-06-10T13:39:00Z,Trichloroethene,27.8,28.8,3280,ug/L,3280,NA,25.0
DPT39A,2020-06-10T11:08:00Z,Trichloroethene,12.5,13.5,0,ug/L,<0.500,U,0.500
DPT39A,2020-06-10T12:27:00Z,Trichloroethene,19.6,20.6,118,ug/L,118,NA,0.500
DPT39A,2020-06-10T14:15:00Z,Trichloroethene,28.5,29.5,7050,ug/L,7050,NA,50.0
DPT39A,2020-06-10T15:59:00Z,Trichloroethene,34.5,35.5,3430,ug/L,3430,NA,25.0
DPT38A,2020-06-11T10:56:00Z,Trichloroethene,35.4,36.4,7000,ug/L,7000,NA,25.0
DPT38A,2020-06-11T10:21:00Z,Trichloroethene,44.5,45.5,3320,ug/L,3320,NA,12.5
DPT39A,2020-06-11T08:33:00Z,Trichloroethene,39.5,40.5,4600,ug/L,4600,NA,25.0
DPT39A,2020-06-11T13:27:00Z,Trichloroethene,50,51,3560,ug/L,3560,NA,12.5
DPT20A,2020-06-15T16:28:00Z,Trichloroethene,60.3,61.3,6.38,ug/L,6.38,NA,0.500
