"","DPT_ID","top","bottom","mean.IK"
"143","DPT08A",44,45,0.0638
"144","DPT08A",45,46,0.412584615384615
"145","DPT08A",46,47,0.176073333333333
"146","DPT08A",47,48,0.0568333333333333
"147","DPT08A",48,49,0.0684588235294118
"148","DPT08A",49,50,0.0774888888888889
"149","DPT08A",50,51,0.01684375
"150","DPT08A",51,52,0.0066
"151","DPT08A",52,53,1.39205
"152","DPT08A",53,54,0.0177294117647059
"153","DPT08A",54,55,0.0144833333333333
"154","DPT08A",55,56,0.0287157894736842
"155","DPT08A",56,57,0.151476470588235
"156","DPT08A",57,58,0.626327777777778
"157","DPT08A",58,59,0.842021052631579
"158","DPT08A",59,60,0.469516666666667
"159","DPT08A",60,61,0.608817647058824
"160","DPT08A",61,62,1.48801052631579
"161","DPT08A",62,63,2.12978333333333
"162","DPT08A",63,64,1.030865
"163","DPT08A",64,65,1.06416315789474
"164","DPT08A",65,66,0.253521052631579
"165","DPT08A",66,67,0.408852631578947
"166","DPT08A",67,68,0.657047368421053
"167","DPT08A",68,69,0.299627777777778
"168","DPT08A",69,70,0.184626315789474
"169","DPT08A",70,71,1.58156842105263
"170","DPT08A",71,72,0.838257894736842
"171","DPT08A",72,73,0.648131578947369
"172","DPT08A",73,74,0.709335
"173","DPT08A",74,75,1.05281
"174","DPT09A",40,41,2.40269230769231
"175","DPT09A",41,42,0.499928571428571
"176","DPT09A",42,43,0.238835714285714
"177","DPT09A",43,44,0.25656
"178","DPT09A",44,45,0.233
"179","DPT09A",45,46,1.65189285714286
"180","DPT09A",46,47,2.46641538461538
"181","DPT09A",47,48,2.83305
"182","DPT09A",48,49,2.45318333333333
"183","DPT09A",49,50,2.76805
"184","DPT09A",50,51,2.46618333333333
"185","DPT09A",51,52,2.27854
"186","DPT09A",52,53,2.45697142857143
"187","DPT09A",53,54,2.70088823529412
"188","DPT09A",54,55,2.78947058823529
"189","DPT09A",55,56,2.88381176470588
"190","DPT09A",56,57,2.95634705882353
"191","DPT09A",57,58,3.00720588235294
"192","DPT09A",58,59,3.143025
"193","DPT09A",59,60,3.06595294117647
"194","DPT09A",60,61,3.12745882352941
"195","DPT09A",61,62,3.20536315789474
"196","DPT09A",62,63,3.27215
"197","DPT09A",63,64,3.09576666666667
"198","DPT09A",64,65,3.15271764705882
"199","DPT09A",65,66,3.19777058823529
"200","DPT09A",66,67,3.22975
"201","DPT09A",67,68,3.20545
"202","DPT09A",68,69,3.18778333333333
"203","DPT09A",69,70,3.31544117647059
"204","DPT09A",70,71,3.36168947368421
"205","DPT09A",71,72,3.39901578947368
"206","DPT09A",72,73,3.38276842105263
"207","DPT09A",73,74,3.4656
"208","DPT09A",74,75,3.4689
"209","DPT09A",75,76,3.4748
"210","DPT09A",76,77,3.5195
